date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-09-25,48880.0,51180.0,-0.0107,-34023.0,0.0,0.1065,0.0543,20.0,20.0,-8071.0,-34023.0,-34023.0,-34023.0,-0.0107,1.0
2023-09-26,31959.0,31689.0,0.0023,-10525.0,0.0,0.0802,0.0435,20.0,20.0,-4809.0,-44548.0,-44548.0,-44548.0,-0.0042,1.0
2023-09-27,17152.0,15092.0,0.0301,-7592.0,0.0,0.1052,0.0451,18.0,22.0,-1974.0,-52140.0,-52140.0,-52140.0,0.007233333333333332,1.0
2023-10-01,34940.0,33268.0,0.0128,4096.0,1.0,0.0872,0.0412,20.0,20.0,4778.0,-48044.0,-48044.0,-48044.0,0.008625,1.0
2023-10-02,24590.0,22244.0,0.0291,-9190.0,0.0,0.24,0.1365,20.0,20.0,-1990.0,-57234.0,-57234.0,-57234.0,0.01272,1.0
2023-10-03,21525.0,20550.0,0.0172,3335.0,1.0,0.1594,0.1183,20.0,20.0,-1755.0,-19876.0,-53899.0,-53899.0,0.013466666666666668,1.0
2023-10-04,20206.0,18286.0,0.0373,-957.0,0.0,0.1823,0.1097,14.0,26.0,-4030.0,-10308.0,-54856.0,-54856.0,0.016871428571428572,1.0
2023-10-05,14090.0,12355.0,0.0439,-6768.0,0.0,0.4298,0.2256,13.0,27.0,685.0,-9484.0,-61624.0,-61624.0,0.02025,1.0
2023-10-08,27565.0,24855.0,0.0383,-8885.0,0.0,0.1374,0.0813,17.0,23.0,-1045.0,-22465.0,-70509.0,-70509.0,0.022255555555555556,1.0
2023-10-09,39607.0,35385.0,0.0361,-19502.0,0.0,0.2246,0.149,19.0,21.0,-12012.0,-32777.0,-90011.0,-90011.0,0.02364,1.0
2023-10-10,34225.0,31949.0,0.0227,-10364.0,0.0,0.2015,0.1426,20.0,20.0,-3775.0,-46476.0,-100375.0,-100375.0,0.023554545454545453,1.0
2023-10-11,30523.0,28253.0,0.0225,-7015.0,0.0,0.0977,0.0488,20.0,20.0,-1206.0,-52534.0,-107390.0,-107390.0,0.023466666666666667,1.0
2023-10-12,28384.0,26813.0,0.0157,-11663.0,0.0,0.1402,0.0853,18.0,22.0,-4742.0,-57429.0,-119053.0,-119053.0,0.02286923076923077,1.0
2023-10-16,16329.0,15299.0,0.0248,-3080.0,0.0,0.128,0.0988,20.0,20.0,-3746.0,-51624.0,-122133.0,-122133.0,0.023007142857142858,1.0
2023-10-17,19038.0,17958.0,0.0167,5192.0,1.0,0.1899,0.1048,14.0,26.0,-1600.0,-26930.0,-116941.0,-116941.0,0.022586666666666665,1.0
2023-10-18,19528.0,18678.0,0.0179,-5573.0,0.0,0.3661,0.2372,16.0,24.0,-1525.0,-22139.0,-122514.0,-122514.0,0.02229375,1.0
2023-10-19,7746.0,7596.0,0.0057,-821.0,0.0,0.1433,0.0829,19.0,21.0,-40.0,-15945.0,-123335.0,-123335.0,0.021317647058823528,1.0
2023-10-29,19550.0,18405.0,0.0256,-8435.0,0.0,0.4445,0.2745,9.0,30.0,-955.0,-12717.0,-131770.0,-131770.0,0.021555555555555557,1.0
2023-10-30,9104.0,8644.0,0.0205,-992.0,0.0,0.0837,0.0557,19.0,21.0,-971.0,-10629.0,-132762.0,-132762.0,0.021500000000000002,1.0
2023-10-31,4775.0,4505.0,0.0189,-1460.0,0.0,0.097,0.0694,19.0,20.0,-1000.0,-17281.0,-134222.0,-134222.0,0.02137,1.0
2023-11-01,8751.0,8531.0,0.0094,961.0,1.0,0.1632,0.1158,17.0,22.0,-110.0,-10747.0,-99238.0,-133261.0,0.022375,1.0
2023-11-02,13889.0,13465.0,0.012,-5030.0,0.0,0.284,0.1961,16.0,23.0,-1010.0,-14956.0,-93743.0,-138291.0,0.022860000000000002,1.0
2023-11-05,8966.0,8496.0,0.0137,-2936.0,0.0,0.1837,0.0936,17.0,22.0,-390.0,-9457.0,-89087.0,-141227.0,0.02204,1.0
2023-11-06,6942.0,6592.0,0.0182,320.0,1.0,0.0902,0.0474,17.0,23.0,-940.0,-8145.0,-92863.0,-140907.0,0.022310000000000003,1.0
2023-11-07,18110.0,18400.0,-0.005,-9070.0,0.0,0.1835,0.1188,20.0,20.0,257.0,-15755.0,-92743.0,-149977.0,0.020605000000000002,1.0
2023-11-08,15466.0,15266.0,0.0043,7396.0,1.0,0.109,0.0767,20.0,20.0,1925.0,-9320.0,-88682.0,-142581.0,0.01996,1.0
2023-11-09,14199.0,13994.0,0.006,4255.0,1.0,0.1531,0.1343,18.0,22.0,-10.0,-35.0,-83470.0,-138326.0,0.018395,1.0
2023-11-20,8846.0,8486.0,0.0132,-6085.0,0.0,0.17,0.1041,18.0,22.0,20.0,-3184.0,-82787.0,-144411.0,0.016860000000000003,1.0
2023-11-21,12728.0,12488.0,0.0076,-144.0,0.0,0.1336,0.1147,17.0,22.0,-342.0,-3648.0,-74046.0,-144555.0,0.015325000000000002,1.0
2023-11-22,9180.0,8980.0,0.0081,2745.0,1.0,0.1077,0.081,20.0,20.0,-385.0,8167.0,-51799.0,-141810.0,0.013925000000000002,0.0
2023-11-23,7680.0,7330.0,0.0163,-245.0,0.0,0.1581,0.1197,19.0,21.0,-230.0,526.0,-41680.0,-142055.0,0.013605,0.0
2023-11-26,16119.0,15929.0,0.0046,2740.0,1.0,0.1013,0.0762,20.0,20.0,-650.0,-989.0,-31925.0,-139315.0,0.012710000000000003,1.0
2023-11-27,7010.0,6800.0,0.0111,995.0,1.0,0.1064,0.0682,19.0,21.0,-800.0,6091.0,-19267.0,-138320.0,0.01248,0.0
2023-11-28,19422.0,19322.0,0.0021,2152.0,1.0,0.4118,0.2563,20.0,20.0,680.0,8387.0,-14035.0,-136168.0,0.011345000000000001,0.0
2023-11-29,9015.0,9230.0,-0.0096,915.0,1.0,0.1209,0.1044,20.0,20.0,435.0,6557.0,-18312.0,-135253.0,0.01003,0.0
2023-11-30,11752.0,11562.0,0.0056,425.0,1.0,0.1851,0.1257,20.0,20.0,4250.0,7227.0,-12314.0,-134828.0,0.009415000000000001,0.0
2023-12-03,9440.0,9260.0,0.0082,790.0,1.0,0.1411,0.0876,17.0,22.0,-190.0,5277.0,-10703.0,-134038.0,0.00954,0.0
2023-12-04,6632.0,6262.0,0.0165,994.0,1.0,0.1304,0.0615,16.0,24.0,71.0,5276.0,-1274.0,-133044.0,0.009085000000000001,0.0
2023-12-05,12343.0,12063.0,0.0096,1982.0,1.0,0.1714,0.1499,18.0,22.0,550.0,5106.0,1700.0,-131062.0,0.00854,0.0
2023-12-06,3520.0,3420.0,0.009,1770.0,1.0,0.1435,0.0896,14.0,26.0,200.0,5961.0,4930.0,-129292.0,0.008045,0.0
2023-12-07,15886.0,15606.0,0.0061,8506.0,1.0,0.0959,0.0479,19.0,20.0,-325.0,14042.0,12475.0,-120786.0,0.007880000000000002,0.0
2023-12-10,1240.0,1240.0,0.0,160.0,1.0,0.678,0.3961,8.0,6.0,-30.0,13412.0,17665.0,-120626.0,0.00728,0.0
2023-12-11,23799.0,23388.0,0.0064,-4088.0,0.0,0.1025,0.0775,20.0,20.0,-3613.0,8330.0,16513.0,-124714.0,0.006915,0.0
2023-12-12,26969.0,26579.0,0.0049,10320.0,1.0,0.0849,0.0535,20.0,20.0,-1641.0,16668.0,26513.0,-114394.0,0.00625,0.0
2023-12-13,32275.0,33246.0,-0.0111,10157.0,1.0,0.1367,0.1206,20.0,20.0,0.0,25055.0,45740.0,-104237.0,0.005945000000000001,0.0
2023-12-14,20483.0,21013.0,-0.0099,-797.0,0.0,0.1493,0.1274,20.0,20.0,600.0,15752.0,37547.0,-105034.0,0.005235000000000001,0.0
2023-12-17,36727.0,37343.0,-0.0063,10014.0,1.0,0.1064,0.0863,20.0,20.0,-1568.0,25606.0,43306.0,-95020.0,0.004620000000000001,0.0
2023-12-18,35646.0,36407.0,-0.0072,3150.0,1.0,0.1028,0.0709,20.0,20.0,-1680.0,32844.0,52541.0,-91870.0,0.0036000000000000003,0.0
2023-12-19,13703.0,13314.0,0.0096,2450.0,1.0,0.0786,0.0505,20.0,20.0,638.0,24974.0,55135.0,-89420.0,0.0037000000000000006,0.0
2023-12-20,26300.0,26684.0,-0.0053,1639.0,1.0,0.0845,0.0634,20.0,20.0,-215.0,16456.0,54029.0,-87781.0,0.0030300000000000006,0.0
2023-12-21,26450.0,25960.0,0.007,1964.0,1.0,0.1733,0.1241,20.0,20.0,0.0,19217.0,56238.0,-85817.0,0.0025650000000000004,0.0
2023-12-24,29144.0,29855.0,-0.0078,-14166.0,0.0,0.0713,0.0428,20.0,20.0,761.0,-4963.0,39332.0,-99983.0,0.0019450000000000001,1.0
2023-12-27,36385.0,37750.0,-0.0125,-9470.0,0.0,0.0787,0.0465,20.0,20.0,-1617.0,-17583.0,28867.0,-109453.0,0.0007650000000000004,1.0
2023-12-28,54423.0,52568.0,0.0115,-5908.0,0.0,0.1071,0.0642,20.0,20.0,-557.0,-25941.0,20807.0,-115361.0,0.0012350000000000004,1.0
2024-01-01,34006.0,30404.0,0.0349,-2673.0,0.0,0.0982,0.058,20.0,20.0,1434.0,-30253.0,17219.0,-118034.0,0.0034600000000000004,1.0
2024-01-02,28725.0,29968.0,-0.0152,11773.0,1.0,0.0607,0.0325,20.0,20.0,1753.0,-20444.0,28567.0,-106261.0,0.0024200000000000007,1.0
2024-01-03,15815.0,14945.0,0.0183,10155.0,1.0,0.2105,0.1052,19.0,20.0,225.0,3877.0,37932.0,-96106.0,0.002925,0.0
2024-01-04,40763.0,42170.0,-0.0118,12399.0,1.0,0.0676,0.0408,20.0,20.0,3116.0,25746.0,49337.0,-83707.0,0.0015100000000000003,0.0
2024-01-07,28665.0,27750.0,0.0098,8893.0,1.0,0.0923,0.0482,20.0,20.0,-408.0,40547.0,56248.0,-74814.0,0.00152,0.0
2024-01-08,47387.0,41386.0,0.0419,-9642.0,0.0,0.1257,0.0902,20.0,20.0,-4120.0,33578.0,44836.0,-84456.0,0.003165,0.0
2024-01-09,36758.0,36489.0,0.0021,-8643.0,0.0,0.0854,0.0576,20.0,20.0,-1077.0,13162.0,27687.0,-59076.0,0.0029649999999999998,0.0
2024-01-10,29944.0,30154.0,-0.0026,-8783.0,0.0,0.0859,0.0722,20.0,20.0,-1496.0,-5776.0,18744.0,-57334.0,0.002835,1.0
2024-01-11,38425.0,35969.0,0.0214,-9295.0,0.0,0.1851,0.1233,20.0,20.0,-2875.0,-27470.0,13537.0,-59037.0,0.003585,1.0
2024-01-14,22529.0,21459.0,0.014,9217.0,1.0,0.1106,0.0623,20.0,20.0,440.0,-27146.0,12434.0,-53916.0,0.00404,1.0
2024-01-16,44291.0,43133.0,0.0077,10748.0,1.0,0.096,0.0543,20.0,20.0,8130.0,-6756.0,13025.0,-33978.0,0.00498,1.0
2024-01-17,33185.0,34378.0,-0.0107,-4436.0,0.0,0.0736,0.0516,20.0,20.0,0.0,-2549.0,9386.0,-41749.0,0.00494,1.0
