date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,41596.0,40877.0,0.0051,6054.0,1.0,0.1092,0.066,20.0,20.0,1009.0,6054.0,6054.0,6054.0,0.0051,0.0
2023-01-24,29247.0,27533.0,0.0158,8424.0,1.0,0.1105,0.0541,18.0,22.0,-773.0,14478.0,14478.0,14478.0,0.010450000000000001,0.0
2023-01-25,47267.0,50011.0,-0.0175,-12672.0,0.0,0.0795,0.0589,20.0,20.0,-3911.0,1806.0,1806.0,1806.0,0.0011333333333333334,0.0
2023-01-26,64911.0,63270.0,0.009,-6506.0,0.0,0.1884,0.1055,20.0,20.0,-1984.0,-4700.0,-4700.0,-4700.0,0.0031,1.0
2023-01-29,49371.0,53586.0,-0.0246,1542.0,1.0,0.0702,0.0444,26.0,14.0,2166.0,-3158.0,-3158.0,-3158.0,-0.0024400000000000003,1.0
2023-01-30,52294.0,52121.0,0.001,-9653.0,0.0,0.1631,0.1085,20.0,20.0,0.0,-18865.0,-12811.0,-12811.0,-0.0018666666666666669,1.0
2023-01-31,35070.0,35290.0,-0.0018,1256.0,1.0,0.0817,0.0475,20.0,20.0,-1516.0,-26033.0,-11555.0,-11555.0,-0.0018571428571428573,1.0
2023-02-01,30991.0,32800.0,-0.0233,16522.0,1.0,0.058,0.0483,27.0,13.0,2360.0,3161.0,4967.0,4967.0,-0.0045375,0.0
2023-02-02,48312.0,50950.0,-0.0183,12236.0,1.0,0.0739,0.0455,24.0,16.0,-1667.0,21903.0,17203.0,17203.0,-0.006066666666666667,0.0
2023-02-05,24449.0,24944.0,-0.0069,12237.0,1.0,0.1229,0.0879,20.0,20.0,6351.0,32598.0,29440.0,29440.0,-0.00615,0.0
2023-02-06,24797.0,24597.0,0.003,-11728.0,0.0,0.3274,0.1953,15.0,25.0,-2492.0,30523.0,17712.0,17712.0,-0.005318181818181818,0.0
2023-02-07,53024.0,54207.0,-0.0061,-20075.0,0.0,0.0938,0.0641,20.0,20.0,0.0,9192.0,-2363.0,-2363.0,-0.005383333333333334,0.0
2023-02-08,52409.0,53144.0,-0.0032,27172.0,1.0,0.1165,0.0606,20.0,20.0,-2723.0,19842.0,24809.0,24809.0,-0.005215384615384616,0.0
2023-02-09,35442.0,36740.0,-0.0119,15743.0,1.0,0.092,0.0662,20.0,20.0,0.0,23349.0,40552.0,40552.0,-0.005692857142857144,0.0
2023-02-12,56866.0,57881.0,-0.005,20572.0,1.0,0.1525,0.0986,20.0,20.0,-689.0,31684.0,61124.0,61124.0,-0.005646666666666666,0.0
2023-02-14,21668.0,22314.0,-0.0096,2114.0,1.0,0.1042,0.0814,20.0,20.0,2236.0,45526.0,63238.0,63238.0,-0.00589375,0.0
2023-02-15,24817.0,25552.0,-0.0103,1733.0,1.0,0.0688,0.0412,20.0,20.0,2338.0,67334.0,64971.0,64971.0,-0.0061529411764705885,0.0
2023-02-16,23259.0,23828.0,-0.0083,-1200.0,0.0,0.0785,0.0671,20.0,20.0,4584.0,38962.0,63771.0,63771.0,-0.0062722222222222224,0.0
2023-02-20,16731.0,17117.0,-0.0067,-3184.0,0.0,0.0724,0.0452,24.0,16.0,229.0,20035.0,60587.0,60587.0,-0.006294736842105263,0.0
2023-02-22,25469.0,25225.0,0.0028,-248.0,0.0,0.1312,0.0787,19.0,20.0,-934.0,-785.0,60339.0,60339.0,-0.00584,1.0
2023-02-23,35095.0,35675.0,-0.0055,-18836.0,0.0,0.073,0.046,20.0,20.0,-5131.0,-21735.0,35449.0,41503.0,-0.006370000000000001,1.0
2023-02-26,37370.0,37080.0,0.002,4222.0,1.0,0.0935,0.0497,20.0,20.0,-8241.0,-19246.0,31247.0,45725.0,-0.0070599999999999994,1.0
2023-02-27,19739.0,20597.0,-0.0115,-1560.0,0.0,0.115,0.0581,21.0,19.0,0.0,-19606.0,42359.0,44165.0,-0.00676,1.0
2023-02-28,57401.0,51418.0,0.0375,20585.0,1.0,0.2193,0.122,16.0,24.0,19480.0,4163.0,69450.0,64750.0,-0.005335000000000001,0.0
2023-03-01,30035.0,30110.0,-0.001,-13514.0,0.0,0.2175,0.16,22.0,17.0,-2307.0,-9103.0,54394.0,51236.0,-0.004155,1.0
2023-03-02,23163.0,23163.0,0.0,10870.0,1.0,0.2104,0.134,19.0,20.0,3235.0,20603.0,74917.0,62106.0,-0.0042049999999999995,0.0
2023-03-05,23485.0,23823.0,-0.0051,427.0,1.0,0.153,0.1168,20.0,18.0,250.0,16808.0,74088.0,62533.0,-0.004370000000000001,0.0
2023-03-07,18240.0,18320.0,-0.0015,589.0,1.0,0.0839,0.0524,22.0,18.0,1253.0,18957.0,58155.0,63122.0,-0.0032800000000000004,0.0
2023-03-09,29661.0,29871.0,-0.0015,8835.0,1.0,0.0867,0.0357,20.0,20.0,1144.0,7207.0,54754.0,71957.0,-0.00244,0.0
2023-03-12,61534.0,58906.0,0.0171,6153.0,1.0,0.537,0.2915,16.0,24.0,44738.0,26874.0,48670.0,78110.0,-0.0012399999999999998,0.0
2023-03-13,28043.0,29308.0,-0.0169,-688.0,0.0,0.1069,0.0986,22.0,18.0,7401.0,15316.0,59710.0,77422.0,-0.002235,0.0
2023-03-14,14653.0,14999.0,-0.0078,-6017.0,0.0,0.0743,0.0495,23.0,17.0,910.0,8872.0,73768.0,71405.0,-0.00232,0.0
2023-03-15,22965.0,22794.0,0.0032,-9459.0,0.0,0.0966,0.0747,19.0,21.0,-480.0,-1176.0,37137.0,61946.0,-0.0019999999999999996,1.0
2023-03-16,16625.0,16525.0,0.0024,-3043.0,0.0,0.0918,0.0681,19.0,21.0,1134.0,-13054.0,18351.0,58903.0,-0.001285,1.0
2023-03-19,15002.0,15002.0,0.0,262.0,1.0,0.0857,0.0497,18.0,18.0,-1740.0,-18945.0,-1959.0,59165.0,-0.001035,1.0
2023-03-20,14742.0,14823.0,-0.0017,-1101.0,0.0,0.0855,0.0553,20.0,20.0,848.0,-19358.0,-5174.0,58064.0,-0.0006399999999999998,1.0
2023-03-22,34924.0,33767.0,0.0089,12666.0,1.0,0.1215,0.0489,18.0,21.0,-653.0,-675.0,5759.0,70730.0,0.00032000000000000013,1.0
2023-03-23,31030.0,31743.0,-0.0074,4633.0,1.0,0.1042,0.0738,20.0,20.0,-7000.0,13417.0,11592.0,75363.0,0.00036500000000000014,0.0
2023-03-26,17816.0,18353.0,-0.0107,465.0,1.0,0.0757,0.0652,24.0,16.0,1038.0,16925.0,15241.0,75828.0,0.00016500000000000013,0.0
2023-03-27,20711.0,20175.0,0.0101,-1664.0,0.0,0.1353,0.1068,17.0,23.0,514.0,14999.0,13825.0,74164.0,0.0005300000000000002,0.0
2023-03-28,25876.0,26849.0,-0.0106,-11147.0,0.0,0.1072,0.0569,21.0,19.0,-2002.0,4953.0,21514.0,63017.0,0.0002750000000000002,0.0
2023-03-29,14263.0,14263.0,0.0,-755.0,0.0,0.1912,0.1236,18.0,19.0,-150.0,-8468.0,16537.0,62262.0,0.00017500000000000016,1.0
2023-03-30,14008.0,14008.0,0.0,-514.0,0.0,0.0677,0.0347,21.0,11.0,910.0,-13615.0,17583.0,61748.0,0.0007500000000000001,1.0
2023-04-02,18958.0,18934.0,0.0004,-4337.0,0.0,0.1927,0.1276,20.0,20.0,1590.0,-18417.0,-7339.0,57411.0,-0.0011049999999999996,1.0
2023-04-03,29632.0,29632.0,0.0,21436.0,1.0,0.189,0.1244,27.0,12.0,10886.0,4683.0,27611.0,78847.0,-0.0010549999999999997,0.0
