date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8938,0.8938,0.0,0.1984,1.0,0.259,0.401,12.0,24.0,-0.1224,0.1984,0.1984,0.1984,0.0,0.0
2023-01-24,0.7168,0.7168,0.0,0.1644,1.0,0.2015,0.2396,15.0,20.0,-0.1206,0.3628,0.3628,0.3628,0.0,0.0
2023-01-25,0.6858,0.6858,0.0,0.3476,1.0,0.2414,0.2233,12.0,24.0,-0.0424,0.7104,0.7104,0.7104,0.0,0.0
2023-01-26,0.6287,0.6278,0.001,0.018,1.0,0.0885,0.1083,20.0,20.0,-0.0373,0.7284,0.7284,0.7284,0.00025,0.0
2023-01-29,0.7273,0.6898,0.0375,-0.1509,0.0,0.1381,0.1877,18.0,22.0,0.0321,0.5775,0.5775,0.5775,0.0077,0.0
2023-01-30,0.5862,0.5921,-0.0059,0.103,1.0,0.1433,0.1619,22.0,18.0,-0.0146,0.4821,0.6805,0.6805,0.0054333333333333326,0.0
2023-01-31,0.7547,0.7596,-0.0049,-0.199,0.0,0.1092,0.1721,20.0,20.0,-0.0565,0.11869999999999997,0.4815,0.4815,0.003957142857142857,0.0
2023-02-01,0.9338,0.9338,0.0,-0.1671,0.0,0.2533,0.42,11.0,20.0,-0.0423,-0.396,0.3144,0.3144,0.0034625,1.0
2023-02-02,0.8979,0.8979,0.0,-0.4772,0.0,0.1967,0.3206,15.0,24.0,-0.0354,-0.8912000000000001,-0.16280000000000006,-0.16280000000000006,0.003077777777777778,1.0
2023-02-05,0.8393,0.8393,0.0,-0.0435,0.0,0.1785,0.2097,14.0,19.0,-0.011,-0.7838,-0.20630000000000004,-0.20630000000000004,0.00277,1.0
2023-02-06,0.8475,0.8475,0.0,-0.242,0.0,0.1021,0.1295,15.0,22.0,-0.0013,-1.1288,-0.44830000000000003,-0.44830000000000003,0.0025181818181818183,1.0
2023-02-07,0.7019,0.6878,0.0141,0.1012,1.0,0.3419,0.3757,8.0,31.0,-0.0441,-0.8286,-0.3471,-0.3471,0.0034833333333333335,1.0
2023-02-08,0.7976,0.7976,0.0,-0.235,0.0,0.1422,0.2618,21.0,15.0,0.0308,-0.8965000000000001,-0.5821000000000001,-0.5821000000000001,0.0032153846153846156,1.0
2023-02-09,0.6226,0.6226,0.0,0.1529,1.0,0.1325,0.1182,17.0,13.0,-0.0115,-0.26639999999999997,-0.4292,-0.4292,0.002985714285714286,1.0
2023-02-12,0.9093,0.9093,0.0,0.1833,1.0,0.1347,0.268,19.0,18.0,-0.0555,-0.03959999999999997,-0.2459,-0.2459,0.002786666666666667,1.0
2023-02-14,0.8191,0.8191,0.0,0.4547,1.0,0.1126,0.1401,16.0,13.0,0.1217,0.6571,0.20879999999999999,0.20879999999999999,0.0026125000000000002,0.0
2023-02-15,0.7527,0.7527,0.0,-0.2805,0.0,0.1619,0.2023,15.0,11.0,-0.0056,0.27540000000000003,-0.07170000000000004,-0.07170000000000004,0.002458823529411765,0.0
2023-02-16,0.7267,0.7267,0.0,0.0587,1.0,0.2056,0.2756,14.0,19.0,0.0363,0.5690999999999999,-0.01300000000000004,-0.01300000000000004,0.0023222222222222225,0.0
2023-02-20,0.7909,0.7909,0.0,-0.592,0.0,0.2579,0.3616,10.0,12.0,0.0588,-0.17580000000000007,-0.605,-0.605,0.0022,1.0
2023-02-22,0.8488,0.8488,0.0,-0.0641,0.0,0.1411,0.1762,15.0,18.0,0.1762,-0.4232,-0.6691,-0.6691,0.0020900000000000003,1.0
2023-02-23,0.8283,0.8283,0.0,0.2701,1.0,0.2074,0.273,12.0,9.0,-0.0117,-0.6078,-0.5973999999999999,-0.39899999999999997,0.0020900000000000003,1.0
2023-02-26,0.7661,0.7661,0.0,0.116,1.0,0.1634,0.224,14.0,23.0,0.0231,-0.2113,-0.6457999999999999,-0.283,0.0020900000000000003,1.0
2023-02-27,0.9157,0.9157,0.0,0.2701,1.0,0.175,0.2749,16.0,14.0,0.0418,9.999999999998899e-05,-0.7233,-0.012899999999999967,0.0020900000000000003,0.0
2023-02-28,0.9464,0.9464,0.0,0.495,1.0,0.2702,0.435,12.0,14.0,0.435,1.0871,-0.24630000000000002,0.48210000000000003,0.00204,0.0
2023-03-01,0.9004,0.9004,0.0,0.389,1.0,0.1279,0.1694,13.0,12.0,0.0983,1.5402,0.2936,0.8711,0.00016500000000000005,0.0
2023-03-02,0.847,0.847,0.0,-0.59,0.0,0.3275,0.4683,18.0,8.0,-0.0064,0.6801,-0.3993999999999999,0.2811000000000001,0.00046,0.0
2023-03-05,0.7268,0.7268,0.0,0.2242,1.0,0.1531,0.2117,13.0,13.0,-0.0122,0.7883,0.0238000000000001,0.5053000000000001,0.0007050000000000001,0.0
2023-03-07,0.8704,0.8704,0.0,-0.1852,0.0,0.2329,0.3704,13.0,10.0,0.0,0.33299999999999996,0.005700000000000094,0.32010000000000016,0.0007050000000000001,0.0
2023-03-09,0.771,0.771,0.0,0.4043,1.0,0.1322,0.1789,13.0,16.0,0.0036,0.24230000000000002,0.8872000000000001,0.7244000000000002,0.0007050000000000001,0.0
2023-03-12,0.9238,0.9238,0.0,-0.5934,0.0,0.2017,0.2587,13.0,13.0,-0.0095,-0.7401,0.33730000000000004,0.13100000000000012,0.0007050000000000001,1.0
2023-03-13,0.9136,0.9136,0.0,-0.4444,0.0,0.2572,0.3498,7.0,13.0,-0.3786,-0.5945000000000001,0.13490000000000002,-0.3133999999999999,0.0007050000000000001,1.0
2023-03-14,0.9545,0.9545,0.0,0.7101,1.0,0.3777,0.5462,8.0,9.0,-0.0182,-0.10860000000000025,0.7438,0.39670000000000005,0.0,1.0
2023-03-15,0.8897,0.8897,0.0,0.0076,1.0,0.2089,0.2853,9.0,12.0,0.1108,0.0841999999999998,0.9864,0.40430000000000005,0.0,0.0
2023-03-16,0.5473,0.5473,0.0,-0.3045,0.0,0.1332,0.1169,11.0,9.0,-0.0106,-0.6246000000000002,0.5289999999999999,0.09980000000000006,0.0,1.0
2023-03-19,0.8929,0.8929,0.0,-0.4821,0.0,0.1448,0.1786,9.0,9.0,0.0,-0.5133000000000001,-0.13639999999999997,-0.3822999999999999,0.0,1.0
2023-03-20,0.8978,0.8978,0.0,-0.4358,0.0,0.3913,0.4635,4.0,22.0,-0.1109,-0.5047000000000001,-1.0269,-0.8180999999999999,0.0,1.0
2023-03-22,0.9055,0.9055,0.0,0.3543,1.0,0.3169,0.3937,7.0,9.0,0.0315,-0.8605,-0.3921,-0.46379999999999993,0.0,1.0
2023-03-23,0.9245,0.9245,0.0,0.1509,1.0,0.113,0.1509,11.0,7.0,0.0503,-0.7172000000000001,-0.29989999999999994,-0.31289999999999996,0.0,1.0
2023-03-26,0.969,0.969,0.0,-0.1693,0.0,0.2557,0.3876,11.0,18.0,0.0039,-0.5820000000000001,0.12279999999999999,-0.48219999999999996,0.0,1.0
2023-03-27,0.9742,0.9742,0.0,-0.1548,0.0,0.2981,0.3935,8.0,10.0,-0.129,-0.25470000000000004,0.03210000000000002,-0.6369999999999999,0.0,1.0
2023-03-28,0.8027,0.8027,0.0,0.0055,1.0,0.3286,0.432,12.0,18.0,0.0691,0.18659999999999996,-0.23249999999999998,-0.6315,0.0,0.0
2023-03-29,0.9333,0.9333,0.0,-0.4667,0.0,0.1939,0.2667,6.0,7.0,0.1333,-0.6344000000000001,-0.8151999999999999,-1.0981999999999998,0.0,1.0
2023-03-30,0.9881,0.9881,0.0,0.4703,1.0,0.2031,0.2922,8.0,13.0,0.2922,-0.3150000000000001,-0.615,-0.6278999999999999,0.0,1.0
