date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.4609,0.4592,0.0017,-0.0218,0.0,0.1433,0.1492,20.0,20.0,0.0217,-0.0218,-0.0218,-0.0218,0.0017,1.0
2023-01-24,0.6182,0.5655,0.0528,0.3256,1.0,0.4268,0.3928,12.0,28.0,0.3928,0.3038,0.3038,0.3038,0.02725,0.0
2023-01-25,0.7376,0.7333,0.0043,-0.0296,0.0,0.2668,0.3554,20.0,20.0,-0.4107,0.2742,0.2742,0.2742,0.0196,0.0
2023-01-26,0.4987,0.5098,-0.0112,-0.0412,0.0,0.0754,0.0646,20.0,19.0,-0.2016,0.233,0.233,0.233,0.0119,0.0
2023-01-29,0.5823,0.5684,0.0139,0.1536,1.0,0.2978,0.3034,20.0,20.0,0.3034,0.3866,0.3866,0.3866,0.0123,0.0
2023-01-30,0.684,0.6848,-0.0008,0.0633,1.0,0.233,0.2923,20.0,20.0,-0.3432,0.4717,0.44989999999999997,0.44989999999999997,0.010116666666666666,0.0
2023-01-31,0.5005,0.4944,0.0062,0.1699,1.0,0.1006,0.1097,20.0,20.0,0.0463,0.31599999999999995,0.6198,0.6198,0.009557142857142858,0.0
2023-02-01,0.4958,0.4965,-0.0006,0.0176,1.0,0.1101,0.0925,20.0,20.0,0.0906,0.36319999999999997,0.6374,0.6374,0.0082875,0.0
2023-02-02,0.5527,0.5659,-0.0132,0.0225,1.0,0.0811,0.1068,20.0,20.0,0.0183,0.4269,0.6599,0.6599,0.005899999999999999,0.0
2023-02-05,0.6377,0.633,0.0047,0.1315,1.0,0.1168,0.1427,20.0,20.0,0.1427,0.4048,0.7914,0.7914,0.0057799999999999995,0.0
2023-02-06,0.6537,0.5866,0.0671,-0.1922,0.0,0.1757,0.2197,15.0,25.0,0.0783,0.14930000000000002,0.5992,0.5992,0.011354545454545456,0.0
2023-02-07,0.3986,0.3943,0.0043,0.0133,1.0,0.1237,0.1023,20.0,20.0,-0.1759,-0.007300000000000008,0.6124999999999999,0.6124999999999999,0.010766666666666667,1.0
2023-02-08,0.6747,0.7167,-0.042,-0.1205,0.0,0.0723,0.0845,20.0,20.0,-0.4663,-0.1454,0.492,0.492,0.006707692307692308,1.0
2023-02-09,0.6038,0.559,0.0449,0.1808,1.0,0.1288,0.1494,18.0,22.0,-0.0696,0.012899999999999995,0.6728,0.6728,0.009435714285714285,0.0
2023-02-12,0.4741,0.5258,-0.0518,-0.0869,0.0,0.0659,0.0496,23.0,17.0,-0.1705,-0.20550000000000002,0.5859,0.5859,0.005353333333333333,1.0
2023-02-14,0.4645,0.4876,-0.0231,-0.0649,0.0,0.0697,0.0695,20.0,20.0,-0.0423,-0.0782,0.521,0.521,0.003575,1.0
2023-02-15,0.502,0.5352,-0.0332,0.0618,1.0,0.0881,0.0817,20.0,20.0,-0.1518,-0.029699999999999997,0.5828,0.5828,0.0014117647058823526,1.0
2023-02-16,0.5052,0.4985,0.0067,0.0308,1.0,0.1126,0.1068,20.0,20.0,0.0919,0.12159999999999999,0.6135999999999999,0.6135999999999999,0.0017055555555555552,0.0
2023-02-20,0.7136,0.7214,-0.0078,0.2992,1.0,0.2197,0.2627,20.0,20.0,0.2627,0.24000000000000002,0.9128000000000001,0.9128000000000001,0.0012052631578947364,0.0
2023-02-22,0.4884,0.4655,0.0229,0.0165,1.0,0.1331,0.1326,17.0,23.0,-0.0264,0.34340000000000004,0.9293,0.9293,0.0022899999999999995,0.0
2023-02-23,0.4575,0.473,-0.0155,-0.0129,0.0,0.076,0.0755,20.0,20.0,0.0,0.39540000000000003,0.9382,0.9164,0.0014299999999999996,0.0
2023-02-26,0.5125,0.4971,0.0154,0.1083,1.0,0.2652,0.2477,20.0,20.0,0.2477,0.4419,0.7209000000000001,1.0247,-0.0004400000000000003,0.0
2023-02-27,0.4941,0.4753,0.0188,0.122,1.0,0.1762,0.1369,19.0,21.0,0.0589,0.5331,0.8725,1.1467,0.00028499999999999977,0.0
2023-02-28,0.7074,0.6369,0.0704,0.0767,1.0,0.2232,0.2379,16.0,24.0,0.2091,0.3106,0.9904000000000001,1.2234,0.004365,0.0
2023-03-01,0.5351,0.5886,-0.0535,-0.2936,0.0,0.0617,0.0576,21.0,19.0,-0.3953,0.0004999999999999449,0.5431999999999999,0.9298,0.0009950000000000004,0.0
2023-03-02,0.5452,0.5692,-0.024,-0.2313,0.0,0.0811,0.0951,20.0,20.0,-0.1797,-0.21790000000000004,0.2486,0.6984999999999999,-0.00016499999999999986,1.0
2023-03-05,0.497,0.4701,0.0268,0.1256,1.0,0.1223,0.1349,20.0,20.0,0.0167,-0.20060000000000006,0.20429999999999995,0.8240999999999999,0.0008650000000000003,1.0
2023-03-07,0.4594,0.4334,0.026,0.1507,1.0,0.1418,0.1452,19.0,21.0,-0.0883,-0.17190000000000005,0.3373999999999999,0.9747999999999999,0.0021950000000000003,1.0
2023-03-09,0.6255,0.6245,0.0009,-0.2073,0.0,0.1007,0.1138,20.0,20.0,-0.1381,-0.4559000000000001,0.10759999999999992,0.7675,0.0029000000000000007,1.0
2023-03-12,0.5377,0.5776,-0.0399,0.1774,1.0,0.0658,0.0607,20.0,19.0,-0.0041,0.015099999999999975,0.15349999999999994,0.9449,0.0006700000000000005,0.0
2023-03-13,0.5706,0.5693,0.0013,-0.1252,0.0,0.1227,0.1205,20.0,20.0,0.0485,0.12119999999999997,0.22049999999999995,0.8196999999999999,-0.00262,0.0
2023-03-14,0.581,0.5829,-0.0019,-0.3534,0.0,0.0965,0.1242,20.0,20.0,-0.0467,-0.3578,-0.14620000000000005,0.46629999999999994,-0.00293,1.0
2023-03-15,0.5085,0.5098,-0.0013,-0.1969,0.0,0.1626,0.1735,20.0,20.0,-0.0381,-0.7053999999999999,-0.22260000000000005,0.2694,-0.0008949999999999996,1.0
2023-03-16,0.7091,0.6946,0.0145,0.307,1.0,0.1712,0.2481,20.0,20.0,0.0216,-0.19110000000000005,-0.09640000000000004,0.5763999999999999,-0.0024149999999999996,1.0
2023-03-19,0.5629,0.5863,-0.0234,-0.181,0.0,0.0858,0.0959,20.0,20.0,0.0078,-0.5495000000000001,-0.19050000000000003,0.3953999999999999,-0.0009949999999999998,1.0
2023-03-20,0.5167,0.4672,0.0495,0.342,1.0,0.2141,0.2165,19.0,21.0,0.0267,-0.08229999999999998,0.21639999999999998,0.7373999999999999,0.002635,1.0
2023-03-22,0.6151,0.6255,-0.0105,-0.0381,0.0,0.1389,0.1898,20.0,20.0,0.1898,0.233,0.11649999999999999,0.6992999999999999,0.0037700000000000003,0.0
2023-03-23,0.5294,0.5198,0.0096,-0.0845,0.0,0.0716,0.0548,20.0,20.0,-0.022,0.3454,0.0011999999999999789,0.6147999999999999,0.003915,0.0
2023-03-26,0.6798,0.6752,0.0046,-0.1289,0.0,0.1158,0.135,20.0,20.0,-0.0294,-0.0905,-0.42690000000000006,0.48589999999999994,0.004535,1.0
2023-03-27,0.4273,0.4225,0.0048,0.2035,1.0,0.1007,0.0783,20.0,20.0,0.0196,0.294,-0.23990000000000006,0.6893999999999999,0.00363,0.0
2023-03-28,0.4845,0.4409,0.0436,0.0849,1.0,0.1012,0.1,19.0,21.0,0.0666,0.03689999999999996,-0.14210000000000003,0.7743,0.006585000000000001,0.0
2023-03-29,0.6172,0.6078,0.0094,0.2144,1.0,0.16,0.2002,12.0,28.0,-0.0163,0.2894,-0.03600000000000006,0.9886999999999999,0.006285000000000001,0.0
2023-03-30,0.5531,0.5683,-0.0152,0.0421,1.0,0.0932,0.1043,20.0,20.0,0.0173,0.416,-0.11590000000000003,1.0308,0.0045850000000000005,0.0
