date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-08-13,4047.0,3977.0,0.0084,-3387.0,0.0,0.9853,0.4826,3.0,35.0,-330.0,-3387.0,-3387.0,-3387.0,0.0084,1.0
2023-08-14,3750.0,3260.0,0.0604,1900.0,1.0,0.6139,0.3416,2.0,38.0,980.0,-1487.0,-1487.0,-1487.0,0.0344,1.0
2023-08-15,34737.0,31129.0,0.0328,280.0,1.0,0.3274,0.1722,17.0,23.0,-3650.0,-1207.0,-1207.0,-1207.0,0.03386666666666666,1.0
2023-08-16,13948.0,12718.0,0.0302,-122.0,0.0,0.1204,0.0616,12.0,28.0,670.0,-1329.0,-1329.0,-1329.0,0.03295,1.0
2023-08-17,8290.0,7550.0,0.0346,-2657.0,0.0,0.2698,0.1868,13.0,27.0,-1590.0,-3986.0,-3986.0,-3986.0,0.03328,1.0
2023-08-20,6875.0,6585.0,0.0127,405.0,1.0,0.1588,0.0669,16.0,24.0,-2450.0,-194.0,-3581.0,-3581.0,0.02985,1.0
2023-08-21,3830.0,3750.0,0.0068,-250.0,0.0,0.1325,0.0808,13.0,26.0,310.0,-2344.0,-3831.0,-3831.0,0.02655714285714286,1.0
2023-08-22,3790.0,3390.0,0.0408,-910.0,0.0,0.1498,0.0949,12.0,28.0,-70.0,-3534.0,-4741.0,-4741.0,0.0283375,1.0
2023-08-23,4930.0,4740.0,0.015,-120.0,0.0,0.2192,0.1481,16.0,22.0,-300.0,-3532.0,-4861.0,-4861.0,0.026855555555555556,1.0
2023-08-24,4570.0,4480.0,0.0062,-650.0,0.0,0.1314,0.0678,16.0,22.0,-20.0,-1525.0,-5511.0,-5511.0,0.02479,1.0
2023-08-27,2390.0,2350.0,0.0051,770.0,1.0,0.3297,0.1701,15.0,24.0,1330.0,-1160.0,-4741.0,-4741.0,0.023,1.0
2023-08-28,3065.0,3010.0,0.0055,455.0,1.0,0.2514,0.1347,14.0,25.0,-30.0,-455.0,-4286.0,-4286.0,0.021541666666666667,1.0
2023-08-29,3100.0,3100.0,0.0,160.0,1.0,0.174,0.1253,11.0,27.0,-570.0,615.0,-4126.0,-4126.0,0.019884615384615386,0.0
2023-08-30,1950.0,1950.0,0.0,260.0,1.0,0.4864,0.2671,10.0,27.0,-110.0,995.0,-3866.0,-3866.0,0.018464285714285714,0.0
2023-09-03,3490.0,3490.0,0.0,-140.0,0.0,0.3214,0.1885,8.0,30.0,340.0,1505.0,-4006.0,-4006.0,0.017233333333333333,0.0
2023-09-04,7335.0,7225.0,0.0064,-3490.0,0.0,0.2018,0.1219,15.0,25.0,-160.0,-2755.0,-7496.0,-7496.0,0.01655625,1.0
2023-09-05,4094.0,4094.0,0.0,-1456.0,0.0,0.1923,0.1552,15.0,23.0,-560.0,-4666.0,-8952.0,-8952.0,0.015582352941176473,1.0
2023-09-07,3720.0,3720.0,0.0,1480.0,1.0,0.7629,0.383,8.0,32.0,-380.0,-3346.0,-7472.0,-7472.0,0.014716666666666668,1.0
2023-09-10,2820.0,2740.0,0.011,590.0,1.0,0.2606,0.1436,10.0,28.0,-80.0,-3016.0,-6882.0,-6882.0,0.014521052631578947,1.0
2023-09-11,4970.0,4790.0,0.0137,-340.0,0.0,0.3301,0.2067,12.0,27.0,-270.0,-3216.0,-7222.0,-7222.0,0.014480000000000002,1.0
2023-09-12,6064.0,5864.0,0.014,-1759.0,0.0,0.2343,0.1582,12.0,27.0,-370.0,-1485.0,-5594.0,-8981.0,0.014759999999999999,1.0
2023-09-13,3325.0,3325.0,0.0,-1880.0,0.0,0.2699,0.1647,10.0,28.0,-300.0,-1909.0,-9374.0,-10861.0,0.01174,1.0
2023-09-17,5330.0,5240.0,0.006,-328.0,0.0,0.2365,0.1254,14.0,23.0,190.0,-3717.0,-9982.0,-11189.0,0.010400000000000001,1.0
2023-09-18,3933.0,3913.0,0.0021,-447.0,0.0,0.2121,0.157,16.0,24.0,-1670.0,-4754.0,-10307.0,-11636.0,0.008995,1.0
2023-09-19,6199.0,5989.0,0.0111,1810.0,1.0,0.2137,0.1215,13.0,26.0,-1610.0,-2604.0,-5840.0,-9826.0,0.007819999999999999,1.0
2023-09-21,4390.0,4100.0,0.016,-829.0,0.0,0.1309,0.0611,14.0,24.0,110.0,-1674.0,-7074.0,-10655.0,0.007985,1.0
2023-09-24,6521.0,6251.0,0.0151,-150.0,0.0,0.1745,0.1167,14.0,26.0,-1330.0,56.0,-6974.0,-10805.0,0.0084,0.0
