date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-12-21,6775.0,5894.0,0.0609,-2961.0,0.0,0.5567,0.3437,5.0,35.0,-1246.0,-2961.0,-2961.0,-2961.0,0.0609,1.0
2023-12-24,8325.0,6620.0,0.1036,4011.0,1.0,1.0,0.5059,1.0,38.0,-1263.0,1050.0,1050.0,1050.0,0.08225,0.0
2023-12-27,14330.0,11760.0,0.0745,-2830.0,0.0,0.2198,0.1572,8.0,32.0,-1720.0,-1780.0,-1780.0,-1780.0,0.07966666666666666,1.0
2023-12-28,22499.0,20969.0,0.0181,2624.0,1.0,0.1868,0.0844,20.0,20.0,7129.0,844.0,844.0,844.0,0.064275,0.0
2024-01-01,47749.0,46318.0,0.0056,-23439.0,0.0,0.093,0.0403,20.0,20.0,-8086.0,-22595.0,-22595.0,-22595.0,0.052539999999999996,1.0
2024-01-02,48947.0,48937.0,0.0001,-12791.0,0.0,0.2729,0.1226,20.0,20.0,-18816.0,-32425.0,-35386.0,-35386.0,0.0438,1.0
2024-01-03,28218.0,27838.0,0.0036,-10932.0,0.0,0.0684,0.0365,20.0,20.0,-4070.0,-47368.0,-46318.0,-46318.0,0.03805714285714286,1.0
2024-01-04,33940.0,29521.0,0.0362,7322.0,1.0,0.1199,0.0721,20.0,20.0,-3235.0,-37216.0,-38996.0,-38996.0,0.037825,1.0
2024-01-07,35183.0,35314.0,-0.001,2921.0,1.0,0.0798,0.0446,20.0,20.0,-3301.0,-36919.0,-36075.0,-36075.0,0.033511111111111117,1.0
2024-01-08,21403.0,18117.0,0.036,5352.0,1.0,0.113,0.0516,20.0,20.0,-1408.0,-8128.0,-30723.0,-30723.0,0.03376,1.0
2024-01-09,23162.0,23072.0,0.0011,4078.0,1.0,0.0712,0.0399,20.0,20.0,-1510.0,8741.0,-26645.0,-26645.0,0.03079090909090909,0.0
2024-01-10,13051.0,12526.0,0.0115,-2016.0,0.0,0.0951,0.0573,20.0,20.0,-1997.0,17657.0,-28661.0,-28661.0,0.029183333333333335,0.0
2024-01-11,13275.0,13032.0,0.0049,752.0,1.0,0.08,0.0397,20.0,20.0,-707.0,11087.0,-27909.0,-27909.0,0.027315384615384616,0.0
2024-01-14,42827.0,43231.0,-0.0028,-9151.0,0.0,0.0852,0.0561,20.0,20.0,0.0,-985.0,-37060.0,-37060.0,0.025164285714285715,1.0
2024-01-16,31996.0,35784.0,-0.0359,-12544.0,0.0,0.0625,0.0321,20.0,20.0,1664.0,-18881.0,-49604.0,-49604.0,0.021093333333333335,1.0
2024-01-17,24792.0,24708.0,0.0009,-2832.0,0.0,0.0743,0.0399,20.0,20.0,-3680.0,-25791.0,-52436.0,-52436.0,0.01983125,1.0
2024-01-18,25184.0,24909.0,0.0024,-12751.0,0.0,0.0915,0.046,20.0,20.0,-5727.0,-36526.0,-65187.0,-65187.0,0.018805882352941176,1.0
2024-01-21,18268.0,19158.0,-0.012,2719.0,1.0,0.0757,0.031,20.0,20.0,2306.0,-34559.0,-62468.0,-62468.0,0.017094444444444443,1.0
2024-01-22,16169.0,14230.0,0.033,3336.0,1.0,0.0921,0.061,20.0,20.0,0.0,-22072.0,-59132.0,-59132.0,0.01793157894736842,1.0
2024-01-23,14455.0,15376.0,-0.0171,-2059.0,0.0,0.0635,0.0321,20.0,20.0,-2637.0,-11587.0,-61191.0,-61191.0,0.01618,1.0
2024-01-24,14406.0,14770.0,-0.007,685.0,1.0,0.065,0.0404,20.0,20.0,-619.0,-8070.0,-57545.0,-60506.0,0.012785,1.0
2024-01-25,13435.0,13456.0,-0.0004,-3008.0,0.0,0.0629,0.0268,20.0,20.0,-1053.0,1673.0,-64564.0,-63514.0,0.007585,0.0
2024-01-28,15134.0,13329.0,0.033,2764.0,1.0,0.0866,0.0373,20.0,20.0,-1312.0,1718.0,-58970.0,-60750.0,0.005509999999999999,0.0
2024-01-29,11447.0,12129.0,-0.0142,936.0,1.0,0.0692,0.0291,20.0,20.0,252.0,-682.0,-60658.0,-59814.0,0.003895,1.0
2024-01-30,20920.0,22622.0,-0.0249,-4599.0,0.0,0.071,0.0434,20.0,20.0,-6395.0,-3222.0,-41818.0,-64413.0,0.0023699999999999997,1.0
2024-01-31,17726.0,19668.0,-0.0284,7151.0,1.0,0.067,0.0325,20.0,20.0,-969.0,3244.0,-21876.0,-57262.0,0.0009449999999999999,0.0
2024-02-01,12385.0,11645.0,0.0147,1176.0,1.0,0.0679,0.0285,20.0,20.0,-417.0,7428.0,-9768.0,-56086.0,0.0015,0.0
2024-02-04,10648.0,9968.0,0.0199,2502.0,1.0,0.0821,0.0425,20.0,20.0,-1875.0,7166.0,-14588.0,-53584.0,0.0006849999999999998,0.0
2024-02-05,10360.0,9810.0,0.0166,-4910.0,0.0,0.0943,0.0605,20.0,20.0,-2735.0,1320.0,-22419.0,-58494.0,0.0015649999999999998,0.0
2024-02-06,18820.0,17297.0,0.0331,-3363.0,0.0,0.139,0.0836,17.0,22.0,-1931.0,2556.0,-31134.0,-61857.0,0.00142,0.0
2024-02-07,10592.0,9652.0,0.0317,-843.0,0.0,0.1491,0.0872,16.0,24.0,-535.0,-5438.0,-36055.0,-62700.0,0.00295,1.0
2024-02-08,22681.0,20360.0,0.0334,7932.0,1.0,0.176,0.1156,18.0,22.0,-2249.0,1318.0,-26107.0,-54768.0,0.004045,0.0
2024-02-11,25662.0,23904.0,0.0236,16677.0,1.0,0.5419,0.2524,20.0,20.0,170.0,15493.0,-10182.0,-38091.0,0.00498,0.0
2024-02-12,43659.0,43043.0,0.0035,915.0,1.0,0.1,0.0535,20.0,20.0,9382.0,21318.0,-116.0,-37176.0,0.005295,0.0
2024-02-13,22994.0,20639.0,0.028,1188.0,1.0,0.0825,0.0435,20.0,20.0,-647.0,25869.0,13616.0,-35988.0,0.008490000000000001,0.0
2024-02-14,14839.0,13674.0,0.0266,4042.0,1.0,0.1225,0.0916,20.0,20.0,-206.0,30754.0,20490.0,-31946.0,0.009774999999999999,0.0
2024-02-15,17830.0,16675.0,0.0209,4546.0,1.0,0.2168,0.1095,20.0,20.0,-740.0,27368.0,37787.0,-27400.0,0.0107,0.0
2024-02-18,17216.0,17160.0,0.001,2790.0,1.0,0.0806,0.0515,20.0,20.0,2839.0,13481.0,37858.0,-24610.0,0.011349999999999999,0.0
