date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,180.0,180.0,0.0,-80.0,0.0,0.3642,0.2381,5.0,8.0,-10.0,-80.0,-80.0,-80.0,0.0,1.0
2023-01-24,118.0,118.0,0.0,90.0,1.0,0.4312,0.2174,3.0,7.0,-8.0,10.0,10.0,10.0,0.0,0.0
2023-01-25,740.0,740.0,0.0,210.0,1.0,0.5211,0.3311,5.0,6.0,185.0,220.0,220.0,220.0,0.0,0.0
2023-01-26,70.0,70.0,0.0,30.0,1.0,0.3878,0.1875,3.0,6.0,0.0,250.0,250.0,250.0,0.0,0.0
2023-01-29,220.0,220.0,0.0,105.0,1.0,0.2614,0.1562,6.0,8.0,0.0,355.0,355.0,355.0,0.0,0.0
2023-01-30,303.0,303.0,0.0,-117.0,0.0,0.329,0.1396,8.0,7.0,-80.0,318.0,238.0,238.0,0.0,0.0
2023-01-31,70.0,70.0,0.0,-20.0,0.0,0.1837,0.1429,6.0,6.0,10.0,208.0,218.0,218.0,0.0,0.0
2023-02-01,130.0,130.0,0.0,80.0,1.0,0.2544,0.1053,5.0,8.0,-10.0,78.0,298.0,298.0,0.0,0.0
2023-02-02,205.0,205.0,0.0,-40.0,0.0,0.5622,0.1747,3.0,7.0,50.0,8.0,258.0,258.0,0.0,0.0
2023-02-05,185.0,185.0,0.0,-5.0,0.0,0.4711,0.2875,3.0,11.0,-5.0,-102.0,253.0,253.0,0.0,1.0
2023-02-06,380.0,380.0,0.0,20.0,1.0,0.7147,0.4103,6.0,7.0,-10.0,35.0,273.0,273.0,0.0,0.0
2023-02-07,530.0,530.0,0.0,430.0,1.0,0.6205,0.3727,4.0,7.0,70.0,485.0,703.0,703.0,0.0,0.0
2023-02-08,30.0,30.0,0.0,0.0,0.0,0.3333,0.1667,3.0,3.0,0.0,405.0,703.0,703.0,0.0,0.0
2023-02-09,30.0,30.0,0.0,-20.0,0.0,0.3333,0.1667,3.0,2.0,0.0,425.0,683.0,683.0,0.0,0.0
2023-02-12,245.0,245.0,0.0,35.0,1.0,0.2536,0.1587,7.0,4.0,5.0,465.0,718.0,718.0,0.0,0.0
2023-02-14,110.0,110.0,0.0,-30.0,0.0,0.2893,0.1111,5.0,4.0,0.0,415.0,688.0,688.0,0.0,0.0
2023-02-15,680.0,680.0,0.0,30.0,1.0,0.4412,0.2727,8.0,10.0,20.0,15.0,718.0,718.0,0.0,0.0
2023-02-16,290.0,290.0,0.0,50.0,1.0,0.1367,0.1129,10.0,6.0,0.0,65.0,768.0,768.0,0.0,0.0
2023-02-20,397.0,397.0,0.0,-310.0,0.0,0.2074,0.1394,9.0,7.0,-10.0,-225.0,458.0,458.0,0.0,1.0
2023-02-22,70.0,70.0,0.0,10.0,1.0,0.3061,0.15,4.0,7.0,10.0,-250.0,468.0,468.0,0.0,1.0
2023-02-23,824.0,824.0,0.0,397.0,1.0,0.2088,0.1378,13.0,11.0,267.0,177.0,945.0,865.0,0.0,0.0
2023-02-26,409.0,409.0,0.0,279.0,1.0,0.2494,0.2029,9.0,11.0,-10.0,426.0,1134.0,1144.0,0.0,0.0
2023-02-27,110.0,110.0,0.0,50.0,1.0,0.3554,0.2727,5.0,4.0,0.0,426.0,974.0,1194.0,0.0,0.0
2023-02-28,100.0,100.0,0.0,-50.0,0.0,1.0,0.5,1.0,5.0,0.0,686.0,894.0,1144.0,0.0,0.0
2023-03-01,50.0,50.0,0.0,30.0,1.0,0.28,0.2,4.0,5.0,10.0,706.0,819.0,1174.0,0.0,0.0
2023-03-02,120.0,120.0,0.0,20.0,1.0,0.2083,0.1053,6.0,4.0,10.0,329.0,956.0,1194.0,0.0,0.0
2023-03-05,60.0,60.0,0.0,-40.0,0.0,0.2222,0.1429,5.0,2.0,0.0,10.0,936.0,1154.0,0.0,0.0
2023-03-07,50.0,50.0,0.0,10.0,1.0,0.68,0.3333,2.0,4.0,40.0,-30.0,866.0,1164.0,0.0,1.0
2023-03-09,50.0,50.0,0.0,10.0,1.0,0.28,0.2,4.0,4.0,-20.0,30.0,916.0,1174.0,0.0,0.0
2023-03-12,10.0,10.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,921.0,1174.0,0.0,0.0
2023-03-13,315.0,315.0,0.0,-165.0,0.0,0.4659,0.3175,4.0,8.0,70.0,-185.0,736.0,1009.0,0.0,1.0
2023-03-14,120.0,120.0,0.0,0.0,0.0,0.25,0.2083,6.0,4.0,10.0,-145.0,306.0,1009.0,0.0,1.0
2023-03-15,100.0,100.0,0.0,6.0,1.0,0.32,0.2273,5.0,4.0,0.0,-149.0,312.0,1015.0,0.0,1.0
2023-03-16,120.0,120.0,0.0,0.0,0.0,0.3056,0.2083,4.0,7.0,-40.0,-159.0,332.0,1015.0,0.0,1.0
2023-03-20,300.0,300.0,0.0,-39.0,0.0,0.2903,0.2203,7.0,5.0,0.0,-198.0,258.0,976.0,0.0,1.0
2023-03-22,180.0,180.0,0.0,-130.0,0.0,0.2469,0.0962,5.0,5.0,0.0,-163.0,158.0,846.0,0.0,1.0
2023-03-23,120.0,120.0,0.0,0.0,0.0,0.3611,0.2083,4.0,3.0,0.0,-163.0,128.0,846.0,0.0,1.0
2023-03-26,50.0,50.0,0.0,30.0,1.0,0.44,0.3,3.0,4.0,0.0,-139.0,108.0,876.0,0.0,1.0
2023-03-27,40.0,40.0,0.0,10.0,1.0,0.25,0.125,4.0,4.0,10.0,-129.0,428.0,886.0,0.0,1.0
2023-03-28,130.0,130.0,0.0,100.0,1.0,0.6095,0.3846,4.0,4.0,0.0,10.0,518.0,986.0,0.0,0.0
2023-03-29,10.0,10.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,140.0,121.0,986.0,0.0,0.0
2023-03-30,70.0,70.0,0.0,20.0,1.0,0.2245,0.1176,5.0,3.0,0.0,160.0,-138.0,1006.0,0.0,0.0
2023-04-02,120.0,120.0,0.0,30.0,1.0,0.3472,0.25,4.0,3.0,-10.0,160.0,-158.0,1036.0,0.0,0.0
2023-04-03,125.0,125.0,0.0,-80.0,0.0,0.2704,0.1852,5.0,3.0,0.0,70.0,-188.0,956.0,0.0,0.0
2023-04-04,50.0,50.0,0.0,20.0,1.0,0.28,0.1429,4.0,4.0,0.0,-10.0,-198.0,976.0,0.0,1.0
2023-04-05,142.0,142.0,0.0,-56.0,0.0,0.1645,0.1232,8.0,7.0,-10.0,-66.0,-274.0,920.0,0.0,1.0
2023-04-06,71.0,71.0,0.0,10.0,1.0,0.266,0.1479,4.0,4.0,0.0,-76.0,-224.0,930.0,0.0,1.0
2023-04-09,20.0,20.0,0.0,0.0,0.0,0.5,0.1667,2.0,2.0,0.0,-106.0,-234.0,930.0,0.0,1.0
2023-04-10,241.0,241.0,0.0,68.0,1.0,0.2773,0.214,8.0,8.0,20.0,42.0,-176.0,998.0,0.0,0.0
2023-04-11,100.0,100.0,0.0,-30.0,0.0,0.16,0.0769,7.0,7.0,-20.0,-8.0,-206.0,968.0,0.0,1.0
2023-04-12,277.0,277.0,0.0,40.0,1.0,0.2412,0.1804,9.0,8.0,10.0,88.0,-1.0,1008.0,0.0,0.0
2023-04-13,124.0,124.0,0.0,-35.0,0.0,0.5558,0.3321,3.0,4.0,0.0,43.0,-36.0,973.0,0.0,0.0
2023-04-16,390.0,390.0,0.0,-302.0,0.0,0.5906,0.3782,6.0,10.0,0.0,-259.0,-344.0,671.0,0.0,1.0
2023-04-17,166.0,166.0,0.0,-24.0,0.0,0.3765,0.2401,4.0,6.0,0.0,-351.0,-368.0,647.0,0.0,1.0
2023-04-18,20.0,20.0,0.0,-20.0,0.0,0.5,0.25,2.0,2.0,0.0,-341.0,-349.0,627.0,0.0,1.0
2023-04-19,159.0,159.0,0.0,-126.0,0.0,0.6701,0.3794,4.0,10.0,-16.0,-507.0,-345.0,501.0,0.0,1.0
2023-04-20,30.0,30.0,0.0,-11.0,0.0,1.0,0.5,1.0,2.0,0.0,-483.0,-356.0,490.0,0.0,1.0
2023-04-23,211.0,211.0,0.0,-175.0,0.0,0.4037,0.2602,4.0,11.0,0.0,-356.0,-561.0,315.0,0.0,1.0
2023-04-24,63.0,63.0,0.0,-23.0,0.0,0.4004,0.1025,3.0,2.0,10.0,-355.0,-594.0,292.0,0.0,1.0
2023-04-25,57.0,57.0,0.0,-5.0,0.0,0.2847,0.1474,4.0,4.0,10.0,-340.0,-699.0,287.0,0.0,1.0
2023-04-26,23.0,23.0,0.0,-3.0,0.0,0.4253,0.1222,3.0,3.0,0.0,-217.0,-702.0,364.0,0.0,1.0
2023-04-27,82.0,82.0,0.0,-20.0,0.0,0.2442,0.1829,5.0,6.0,0.0,-226.0,-742.0,254.0,0.0,1.0
2023-04-30,81.0,81.0,0.0,-49.0,0.0,0.4821,0.3333,5.0,11.0,-11.0,-100.0,-821.0,-5.0,0.0,1.0
2023-05-02,55.0,55.0,0.0,-35.0,0.0,0.4711,0.3182,3.0,4.0,0.0,-112.0,-776.0,-70.0,0.0,1.0
2023-05-03,11.0,11.0,0.0,-11.0,0.0,1.0,0.5,1.0,1.0,0.0,-118.0,-807.0,-186.0,0.0,1.0
2023-05-04,63.0,63.0,0.0,63.0,1.0,1.0,0.5,1.0,5.0,0.0,-52.0,-688.0,-6.0,0.0,1.0
2023-05-07,82.0,82.0,0.0,7.0,1.0,0.2383,0.1376,5.0,3.0,0.0,-25.0,-691.0,21.0,0.0,1.0
2023-05-08,72.0,72.0,0.0,-10.0,0.0,0.5756,0.3472,2.0,5.0,-11.0,14.0,-701.0,-69.0,0.0,0.0
2023-05-10,20.0,20.0,0.0,0.0,0.0,0.5,0.1667,2.0,2.0,0.0,49.0,-769.0,-29.0,0.0,0.0
2023-05-11,126.0,126.0,0.0,19.0,1.0,0.2981,0.0981,6.0,6.0,0.0,79.0,-720.0,-5.0,0.0,0.0
2023-05-14,94.0,94.0,0.0,43.0,1.0,0.6424,0.3936,3.0,8.0,0.0,59.0,-717.0,18.0,0.0,0.0
2023-05-15,30.0,30.0,0.0,0.0,0.0,0.5556,0.3333,2.0,2.0,0.0,52.0,-682.0,-412.0,0.0,0.0
2023-05-16,121.0,121.0,0.0,60.0,1.0,0.246,0.1553,7.0,5.0,0.0,122.0,-320.0,-352.0,0.0,0.0
2023-05-17,53.0,53.0,0.0,-53.0,0.0,0.2951,0.0858,4.0,2.0,0.0,69.0,-349.0,-385.0,0.0,0.0
2023-05-18,527.0,527.0,0.0,223.0,1.0,0.1679,0.1127,10.0,8.0,46.0,273.0,-106.0,-197.0,0.0,0.0
2023-05-21,48.0,48.0,0.0,0.0,0.0,0.4271,0.2917,3.0,3.0,0.0,230.0,20.0,-167.0,0.0,0.0
2023-05-22,259.0,259.0,0.0,12.0,1.0,0.1626,0.1487,10.0,10.0,20.0,242.0,43.0,-185.0,0.0,0.0
2023-05-23,320.0,320.0,0.0,40.0,1.0,0.1699,0.1018,10.0,10.0,10.0,222.0,258.0,-195.0,0.0,0.0
2023-05-24,40.0,40.0,0.0,-10.0,0.0,0.25,0.1,4.0,2.0,0.0,265.0,271.0,105.0,0.0,0.0
2023-05-28,381.0,381.0,0.0,-81.0,0.0,0.6162,0.2691,6.0,10.0,10.0,-39.0,195.0,14.0,0.0,1.0
2023-05-30,232.0,232.0,0.0,-54.0,0.0,0.3564,0.2521,5.0,7.0,0.0,-93.0,144.0,-437.0,0.0,1.0
2023-05-31,56.0,56.0,0.0,-56.0,0.0,0.7066,0.4035,2.0,2.0,0.0,-161.0,108.0,-772.0,0.0,1.0
2023-06-01,117.0,117.0,0.0,-21.0,0.0,0.3351,0.1923,4.0,6.0,40.0,-222.0,136.0,-843.0,0.0,1.0
2023-06-04,169.0,169.0,0.0,1.0,1.0,0.299,0.2207,5.0,6.0,0.0,-211.0,172.0,-792.0,0.0,1.0
2023-06-05,191.0,191.0,0.0,171.0,1.0,0.3646,0.2285,5.0,3.0,0.0,41.0,354.0,-651.0,0.0,0.0
2023-06-06,300.0,300.0,0.0,40.0,1.0,0.4378,0.2255,4.0,11.0,0.0,135.0,331.0,-631.0,0.0,0.0
2023-06-07,95.0,95.0,0.0,-24.0,0.0,0.2346,0.1169,6.0,7.0,5.0,167.0,300.0,-615.0,0.0,0.0
2023-06-08,95.0,95.0,0.0,-15.0,0.0,0.4017,0.2183,4.0,4.0,0.0,173.0,295.0,-640.0,0.0,0.0
2023-06-11,578.0,578.0,0.0,105.0,1.0,0.3318,0.1723,6.0,17.0,-90.0,277.0,400.0,-545.0,0.0,0.0
2023-06-12,171.0,171.0,0.0,-33.0,0.0,0.4556,0.1982,5.0,8.0,0.0,73.0,348.0,-578.0,0.0,0.0
2023-06-13,699.0,699.0,0.0,-93.0,0.0,0.3393,0.2211,7.0,19.0,-32.0,-60.0,212.0,-506.0,0.0,1.0
2023-06-14,430.0,430.0,0.0,-35.0,0.0,0.1504,0.0685,9.0,15.0,75.0,-71.0,177.0,-541.0,0.0,1.0
2023-06-15,81.0,81.0,0.0,30.0,1.0,0.1891,0.0991,6.0,3.0,0.0,-26.0,147.0,-517.0,0.0,1.0
2023-06-18,380.0,380.0,0.0,174.0,1.0,0.2318,0.1435,8.0,8.0,95.0,43.0,374.0,-343.0,0.0,0.0
2023-06-19,804.0,804.0,0.0,-350.0,0.0,0.0933,0.0538,16.0,9.0,-30.0,-274.0,-199.0,-654.0,0.0,1.0
2023-06-20,165.0,165.0,0.0,-90.0,0.0,0.2214,0.2,8.0,7.0,-11.0,-271.0,-289.0,-614.0,0.0,1.0
2023-06-21,244.0,244.0,0.0,120.0,1.0,0.1364,0.0895,10.0,8.0,33.0,-116.0,-181.0,-494.0,0.0,1.0
2023-06-22,410.0,410.0,0.0,93.0,1.0,0.4627,0.3195,7.0,8.0,-60.0,-53.0,-128.0,-431.0,0.0,1.0
2023-06-25,158.0,158.0,0.0,-24.0,0.0,0.4364,0.2321,4.0,6.0,19.0,-251.0,-142.0,-465.0,0.0,1.0
2023-06-26,536.0,536.0,0.0,-129.0,0.0,0.2182,0.1263,9.0,11.0,195.0,-30.0,-190.0,-694.0,0.0,1.0
2023-06-27,1511.0,1511.0,0.0,103.0,1.0,0.2174,0.1465,10.0,19.0,-373.0,163.0,-33.0,-591.0,0.0,0.0
2023-06-28,781.0,781.0,0.0,382.0,1.0,0.2167,0.1746,9.0,17.0,49.0,425.0,405.0,-229.0,0.0,0.0
2023-07-02,472.0,472.0,0.0,-51.0,0.0,0.1555,0.0996,10.0,4.0,10.0,281.0,375.0,-310.0,0.0,0.0
2023-07-03,186.0,186.0,0.0,-20.0,0.0,0.4503,0.2315,5.0,9.0,0.0,285.0,354.0,-250.0,0.0,0.0
2023-07-04,62.0,62.0,0.0,-14.0,0.0,0.4527,0.3065,3.0,3.0,0.0,400.0,169.0,-284.0,0.0,0.0
2023-07-05,172.0,172.0,0.0,-114.0,0.0,0.3344,0.2308,6.0,6.0,-23.0,183.0,15.0,-342.0,0.0,0.0
2023-07-06,119.0,119.0,0.0,71.0,1.0,0.5805,0.3423,4.0,7.0,-11.0,-128.0,110.0,-281.0,0.0,1.0
2023-07-09,109.0,109.0,0.0,-37.0,0.0,0.2647,0.1053,5.0,5.0,40.0,-114.0,88.0,-318.0,0.0,1.0
2023-07-10,173.0,173.0,0.0,29.0,1.0,0.22,0.1598,7.0,7.0,40.0,-65.0,12.0,-357.0,0.0,1.0
2023-07-11,98.0,98.0,0.0,26.0,1.0,0.3592,0.2407,4.0,3.0,0.0,-25.0,71.0,-301.0,0.0,1.0
2023-07-12,309.0,309.0,0.0,1.0,1.0,0.2286,0.1253,7.0,8.0,21.0,90.0,165.0,-340.0,0.0,0.0
2023-07-13,321.0,321.0,0.0,-144.0,0.0,0.3364,0.2222,6.0,8.0,19.0,-125.0,56.0,-449.0,0.0,1.0
2023-07-16,40.0,40.0,0.0,20.0,1.0,0.375,0.25,3.0,3.0,-10.0,-68.0,46.0,-127.0,0.0,1.0
2023-07-17,201.0,201.0,0.0,41.0,1.0,0.5753,0.2768,5.0,6.0,150.0,-56.0,-87.0,-62.0,0.0,1.0
2023-07-18,148.0,148.0,0.0,-13.0,0.0,0.2035,0.1424,6.0,8.0,-35.0,-95.0,250.0,-55.0,0.0,1.0
2023-07-19,272.0,272.0,0.0,-196.0,0.0,0.6013,0.2924,4.0,12.0,-21.0,-292.0,144.0,-125.0,0.0,1.0
2023-07-20,1234.0,1234.0,0.0,867.0,1.0,0.6396,0.3779,5.0,15.0,978.0,719.0,891.0,753.0,0.0,0.0
2023-07-23,199.0,199.0,0.0,61.0,1.0,0.1772,0.1407,9.0,12.0,10.0,760.0,859.0,989.0,0.0,0.0
2023-07-24,171.0,171.0,0.0,-80.0,0.0,0.3119,0.1832,5.0,5.0,0.0,639.0,803.0,932.0,0.0,0.0
2023-07-25,275.0,275.0,0.0,-83.0,0.0,0.178,0.1311,9.0,6.0,0.0,569.0,849.0,854.0,0.0,0.0
2023-07-26,507.0,507.0,0.0,-139.0,0.0,0.1594,0.1144,10.0,9.0,50.0,626.0,607.0,718.0,0.0,0.0
2023-07-27,529.0,529.0,0.0,-11.0,0.0,0.388,0.2896,11.0,7.0,10.0,-252.0,214.0,727.0,0.0,1.0
2023-07-30,57.0,57.0,0.0,6.0,1.0,0.2681,0.1667,4.0,3.0,0.0,-307.0,271.0,782.0,0.0,1.0
2023-07-31,615.0,615.0,0.0,-2.0,0.0,0.2149,0.1923,12.0,6.0,-10.0,-229.0,289.0,815.0,0.0,1.0
2023-08-01,130.0,130.0,0.0,41.0,1.0,0.4415,0.2857,4.0,5.0,0.0,-105.0,344.0,867.0,0.0,1.0
2023-08-02,63.0,63.0,0.0,32.0,1.0,0.3893,0.2422,3.0,6.0,22.0,66.0,490.0,836.0,0.0,0.0
2023-08-03,607.0,607.0,0.0,221.0,1.0,0.174,0.159,13.0,5.0,0.0,298.0,640.0,1050.0,0.0,0.0
