series_name,date,value,units,source
NASDAQ,1984-11-01,278.70001220703125,close,YAHOO:^IXIC
NASDAQ,1985-02-01,280.6000061035156,close,YAHOO:^IXIC
NASDAQ,1985-05-01,301.29998779296875,close,YAHOO:^IXIC
NASDAQ,1985-08-01,292.5,close,YAHOO:^IXIC
NASDAQ,1985-11-01,335.79998779296875,close,YAHOO:^IXIC
NASDAQ,1986-02-01,383.20001220703125,close,YAHOO:^IXIC
NASDAQ,1986-05-01,371.3999938964844,close,YAHOO:^IXIC
NASDAQ,1986-08-01,360.79998779296875,close,YAHOO:^IXIC
NASDAQ,1986-11-01,392.1000061035156,close,YAHOO:^IXIC
NASDAQ,1987-02-01,417.79998779296875,close,YAHOO:^IXIC
NASDAQ,1987-05-01,434.8999938964844,close,YAHOO:^IXIC
NASDAQ,1987-08-01,323.29998779296875,close,YAHOO:^IXIC
NASDAQ,1987-11-01,344.70001220703125,close,YAHOO:^IXIC
NASDAQ,1988-02-01,379.20001220703125,close,YAHOO:^IXIC
NASDAQ,1988-05-01,387.29998779296875,close,YAHOO:^IXIC
NASDAQ,1988-08-01,382.5,close,YAHOO:^IXIC
NASDAQ,1988-11-01,401.29998779296875,close,YAHOO:^IXIC
NASDAQ,1989-02-01,427.6000061035156,close,YAHOO:^IXIC
NASDAQ,1989-05-01,453.79998779296875,close,YAHOO:^IXIC
NASDAQ,1989-08-01,455.6000061035156,close,YAHOO:^IXIC
NASDAQ,1989-11-01,415.79998779296875,close,YAHOO:^IXIC
NASDAQ,1990-02-01,420.1000061035156,close,YAHOO:^IXIC
NASDAQ,1990-05-01,438.20001220703125,close,YAHOO:^IXIC
NASDAQ,1990-08-01,329.79998779296875,close,YAHOO:^IXIC
NASDAQ,1990-11-01,414.20001220703125,close,YAHOO:^IXIC
NASDAQ,1991-02-01,484.7200012207031,close,YAHOO:^IXIC
NASDAQ,1991-05-01,502.0400085449219,close,YAHOO:^IXIC
NASDAQ,1991-08-01,542.97998046875,close,YAHOO:^IXIC
NASDAQ,1991-11-01,620.2100219726562,close,YAHOO:^IXIC
NASDAQ,1992-02-01,578.6799926757812,close,YAHOO:^IXIC
NASDAQ,1992-05-01,580.8300170898438,close,YAHOO:^IXIC
NASDAQ,1992-08-01,605.1699829101562,close,YAHOO:^IXIC
NASDAQ,1992-11-01,696.3400268554688,close,YAHOO:^IXIC
NASDAQ,1993-02-01,661.4199829101562,close,YAHOO:^IXIC
NASDAQ,1993-05-01,704.7000122070312,close,YAHOO:^IXIC
NASDAQ,1993-08-01,779.260009765625,close,YAHOO:^IXIC
NASDAQ,1993-11-01,800.469970703125,close,YAHOO:^IXIC
NASDAQ,1994-02-01,733.8400268554688,close,YAHOO:^IXIC
NASDAQ,1994-05-01,722.1599731445312,close,YAHOO:^IXIC
NASDAQ,1994-08-01,777.489990234375,close,YAHOO:^IXIC
NASDAQ,1994-11-01,755.2000122070312,close,YAHOO:^IXIC
NASDAQ,1995-02-01,843.97998046875,close,YAHOO:^IXIC
NASDAQ,1995-05-01,1001.2100219726562,close,YAHOO:^IXIC
NASDAQ,1995-08-01,1036.06005859375,close,YAHOO:^IXIC
NASDAQ,1995-11-01,1059.7900390625,close,YAHOO:^IXIC
NASDAQ,1996-02-01,1190.52001953125,close,YAHOO:^IXIC
NASDAQ,1996-05-01,1080.5899658203125,close,YAHOO:^IXIC
NASDAQ,1996-08-01,1221.510009765625,close,YAHOO:^IXIC
NASDAQ,1996-11-01,1379.8499755859375,close,YAHOO:^IXIC
NASDAQ,1997-02-01,1260.760009765625,close,YAHOO:^IXIC
NASDAQ,1997-05-01,1593.81005859375,close,YAHOO:^IXIC
NASDAQ,1997-08-01,1593.6099853515625,close,YAHOO:^IXIC
NASDAQ,1997-11-01,1619.3599853515625,close,YAHOO:^IXIC
NASDAQ,1998-02-01,1868.4100341796875,close,YAHOO:^IXIC
NASDAQ,1998-05-01,1872.3900146484375,close,YAHOO:^IXIC
NASDAQ,1998-08-01,1771.3900146484375,close,YAHOO:^IXIC
NASDAQ,1998-11-01,2505.889892578125,close,YAHOO:^IXIC
NASDAQ,1999-02-01,2542.860107421875,close,YAHOO:^IXIC
NASDAQ,1999-05-01,2638.489990234375,close,YAHOO:^IXIC
NASDAQ,1999-08-01,2966.429931640625,close,YAHOO:^IXIC
NASDAQ,1999-11-01,3940.35009765625,close,YAHOO:^IXIC
NASDAQ,2000-02-01,3860.659912109375,close,YAHOO:^IXIC
NASDAQ,2000-05-01,3766.989990234375,close,YAHOO:^IXIC
NASDAQ,2000-08-01,3369.6298828125,close,YAHOO:^IXIC
NASDAQ,2000-11-01,2772.72998046875,close,YAHOO:^IXIC
NASDAQ,2001-02-01,2116.239990234375,close,YAHOO:^IXIC
NASDAQ,2001-05-01,2027.1300048828125,close,YAHOO:^IXIC
NASDAQ,2001-08-01,1690.199951171875,close,YAHOO:^IXIC
NASDAQ,2001-11-01,1934.030029296875,close,YAHOO:^IXIC
NASDAQ,2002-02-01,1688.22998046875,close,YAHOO:^IXIC
NASDAQ,2002-05-01,1328.260009765625,close,YAHOO:^IXIC
NASDAQ,2002-08-01,1329.75,close,YAHOO:^IXIC
NASDAQ,2002-11-01,1320.9100341796875,close,YAHOO:^IXIC
NASDAQ,2003-02-01,1464.31005859375,close,YAHOO:^IXIC
NASDAQ,2003-05-01,1735.02001953125,close,YAHOO:^IXIC
NASDAQ,2003-08-01,1932.2099609375,close,YAHOO:^IXIC
NASDAQ,2003-11-01,2066.14990234375,close,YAHOO:^IXIC
NASDAQ,2004-02-01,1920.1500244140625,close,YAHOO:^IXIC
NASDAQ,2004-05-01,1887.3599853515625,close,YAHOO:^IXIC
NASDAQ,2004-08-01,1974.989990234375,close,YAHOO:^IXIC
NASDAQ,2004-11-01,2062.409912109375,close,YAHOO:^IXIC
NASDAQ,2005-02-01,1921.6500244140625,close,YAHOO:^IXIC
