series_name,date,value,units,source
NIFTY50,2007-09-30,5900.64990234375,close,YAHOO:^NSEI
NIFTY50,2007-10-31,5762.75,close,YAHOO:^NSEI
NIFTY50,2007-11-30,6138.60009765625,close,YAHOO:^NSEI
NIFTY50,2007-12-31,5137.4501953125,close,YAHOO:^NSEI
NIFTY50,2008-01-31,5223.5,close,YAHOO:^NSEI
NIFTY50,2008-02-29,4734.5,close,YAHOO:^NSEI
NIFTY50,2008-03-31,5165.89990234375,close,YAHOO:^NSEI
NIFTY50,2008-04-30,4870.10009765625,close,YAHOO:^NSEI
NIFTY50,2008-05-31,4040.550048828125,close,YAHOO:^NSEI
NIFTY50,2008-06-30,4332.9501953125,close,YAHOO:^NSEI
NIFTY50,2008-07-31,4360.0,close,YAHOO:^NSEI
NIFTY50,2008-08-31,3921.199951171875,close,YAHOO:^NSEI
NIFTY50,2008-09-30,2885.60009765625,close,YAHOO:^NSEI
NIFTY50,2008-10-31,2755.10009765625,close,YAHOO:^NSEI
NIFTY50,2008-11-30,2959.14990234375,close,YAHOO:^NSEI
NIFTY50,2008-12-31,2874.800048828125,close,YAHOO:^NSEI
NIFTY50,2009-01-31,2763.64990234375,close,YAHOO:^NSEI
NIFTY50,2009-02-28,3020.949951171875,close,YAHOO:^NSEI
NIFTY50,2009-03-31,3473.949951171875,close,YAHOO:^NSEI
NIFTY50,2009-04-30,4448.9501953125,close,YAHOO:^NSEI
NIFTY50,2009-05-31,4291.10009765625,close,YAHOO:^NSEI
NIFTY50,2009-06-30,4636.4501953125,close,YAHOO:^NSEI
NIFTY50,2009-07-31,4662.10009765625,close,YAHOO:^NSEI
NIFTY50,2009-08-31,5083.9501953125,close,YAHOO:^NSEI
NIFTY50,2009-09-30,4711.7001953125,close,YAHOO:^NSEI
NIFTY50,2009-10-31,5032.7001953125,close,YAHOO:^NSEI
NIFTY50,2009-11-30,5201.0498046875,close,YAHOO:^NSEI
NIFTY50,2009-12-31,4882.0498046875,close,YAHOO:^NSEI
NIFTY50,2010-01-31,4922.2998046875,close,YAHOO:^NSEI
NIFTY50,2010-02-28,5249.10009765625,close,YAHOO:^NSEI
NIFTY50,2010-03-31,5278.0,close,YAHOO:^NSEI
NIFTY50,2010-04-30,5086.2998046875,close,YAHOO:^NSEI
NIFTY50,2010-05-31,5312.5,close,YAHOO:^NSEI
NIFTY50,2010-06-30,5367.60009765625,close,YAHOO:^NSEI
NIFTY50,2010-07-31,5402.39990234375,close,YAHOO:^NSEI
NIFTY50,2010-08-31,6029.9501953125,close,YAHOO:^NSEI
NIFTY50,2010-09-30,6017.7001953125,close,YAHOO:^NSEI
NIFTY50,2010-10-31,5862.7001953125,close,YAHOO:^NSEI
