symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-02,403.8,436.9,403.8,436.9,140.0,59399.6,8.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-03,445.6,463.5,445.6,463.5,40.0,18023.2,6.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-04,472.7,501.5,472.7,501.5,50.0,24123.6,8.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-07,511.5,542.7,511.5,542.7,50.0,26316.9,8.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-08,553.5,575.7,553.5,575.7,30.0,16937.0,6.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-09,587.2,598.9,587.2,598.9,20.0,11861.0,4.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-10,610.8,623.0,610.8,623.0,20.0,12338.0,4.02,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-11,635.4,661.0,635.4,661.0,30.0,19445.0,6.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-14,674.2,727.1,674.2,727.1,60.0,42326.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-15,741.6,771.5,741.6,771.5,40.0,30400.0,6.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-16,771.4,848.6,771.4,848.6,110.0,91060.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-17,865.5,933.4,865.5,933.4,50.0,45005.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-18,952.0,1026.7,952.0,1026.7,90.0,90125.4,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-21,1047.2,1129.3,1047.2,1129.3,100.0,110916.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-22,1151.8,1242.2,1151.8,1242.2,150.0,184111.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-23,1267.0,1366.4,1267.0,1366.4,110.0,147866.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-24,1393.7,1503.0,1393.7,1503.0,110.0,162286.8,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-28,1533.0,1653.3,1533.0,1653.3,380.0,625106.2,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-30,1686.3,1818.6,1686.3,1818.6,620.0,1122966.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-05-31,1854.0,2000.4,1854.0,2000.4,4450.0,8898173.9,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-01,2040.4,2122.8,1827.0,1892.0,17373.0,33144855.0,-5.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-04,1892.0,1976.0,1890.0,1949.0,7100.0,13589025.2,3.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-05,1930.0,1930.0,1900.0,1903.0,4152.0,7940114.0,-2.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-06,1940.0,1979.8,1910.0,1961.0,4736.0,9246308.0,3.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-07,1940.0,1980.0,1940.0,1960.0,3555.0,6996624.5,-0.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-08,1965.0,1965.0,1926.0,1941.0,2140.0,4156758.0,-0.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-11,1941.0,2059.0,1941.0,2050.0,5549.0,11186713.0,5.62,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-12,2088.0,2090.0,1980.0,2040.0,3350.0,6725948.2,-0.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-13,2005.0,2068.0,1967.0,2047.0,2808.0,5694231.0,0.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-14,2040.0,2130.0,2040.0,2060.0,5476.0,11454602.7,0.64,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-15,2070.0,2200.0,2042.0,2130.0,3887.0,8269191.0,3.4,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-18,2150.0,2343.0,2150.0,2343.0,4917.0,11391530.5,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-19,2389.8,2534.0,2352.0,2429.0,4367.0,10622801.3,3.67,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-20,2477.5,2576.0,2338.0,2340.0,1660.0,4003598.0,-3.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-21,2380.0,2380.0,2295.4,2328.3,2854.0,6667259.1,-0.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-22,2301.1,2367.0,2301.1,2320.1,1223.0,2855743.0,-0.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-25,2330.0,2447.9,2320.0,2427.0,2393.0,5734793.9,4.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-26,2470.0,2497.0,2385.3,2410.0,1168.0,2812107.5,-0.7,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-27,2409.0,2651.0,2400.0,2560.0,5220.0,13320598.9,6.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-06-28,2610.0,2611.0,2476.2,2491.2,3225.0,8087404.0,-2.69,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-07-02,2442.0,2470.0,2360.1,2360.1,2100.0,5043497.0,-5.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance,2023-07-03,2315.2,2400.0,2302.0,2338.0,1514.0,3559935.0,-0.94,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ANLB
