symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-11,285.0,313.5,285.0,313.5,270.0,83515.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-12,313.9,344.8,313.9,344.8,490.0,167734.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-13,344.5,379.2,344.5,379.2,610.0,230274.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-16,386.7,417.1,386.7,417.1,820.0,341273.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-17,420.0,458.8,420.0,458.8,1430.0,654222.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-18,467.6,504.6,467.6,504.6,1540.0,776170.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-19,514.4,555.0,514.4,555.0,2360.0,1307985.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-20,566.0,610.5,566.0,610.5,6810.0,4155966.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-23,622.7,671.5,622.7,671.5,22250.0,14935774.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-24,684.9,738.6,684.9,738.6,57040.0,42095094.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-25,753.3,812.0,750.1,792.0,346850.0,269997649.0,7.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-26,792.0,795.0,760.0,763.1,255880.0,196817555.5,-3.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-27,763.1,765.0,750.1,758.1,170479.0,128563286.3,-0.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-11-30,758.0,778.9,750.0,764.9,130752.0,99728356.6,0.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotel & Tourism,2025-12-01,765.0,806.0,758.0,789.0,187463.0,146792961.0,3.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BANDIPUR
