symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-10-12,361.1,397.2,361.1,397.2,13674.0,5423319.6,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-10-16,405.1,436.9,358.2,362.5,69045.0,26937096.6,-8.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-10-17,362.0,387.0,356.0,360.1,24008.0,8718952.2,-0.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-10-18,355.2,385.0,355.2,385.0,8654.0,3232523.0,6.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-10-19,377.3,387.0,372.7,384.5,7467.0,2839725.7,-0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-10-29,376.9,376.9,358.3,367.0,13335.0,4825765.1,-4.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-10-30,359.7,374.0,352.8,366.0,10137.0,3663015.2,-0.27,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-10-31,360.0,369.0,360.0,369.0,4920.0,1780862.0,0.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-01,362.0,366.0,356.0,361.1,4299.0,1555648.6,-2.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-02,354.0,364.0,354.0,357.1,5930.0,2125822.0,-1.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-05,352.0,360.0,352.0,356.0,3910.0,1392208.0,-0.31,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-06,360.0,372.0,355.0,366.5,7390.0,2684543.0,2.95,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-07,360.0,384.8,360.0,370.0,5410.0,2026219.5,0.95,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-08,370.0,398.0,363.7,395.0,17150.0,6650691.5,6.76,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-09,387.1,400.0,378.0,378.4,5930.0,2271360.0,-4.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-20,378.4,390.2,377.4,389.0,6922.0,2665248.0,2.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-21,382.0,384.0,376.1,382.0,10370.0,3941785.2,-1.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-22,375.0,391.0,375.0,391.0,5561.0,2113798.8,2.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-23,383.2,403.0,379.0,398.0,9037.0,3581347.8,1.79,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-26,390.1,437.8,390.1,437.8,25091.0,10754149.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
BGWT,Bhagawati Hydropower Development Company Limited,Hydropower,2023-11-27,437.0,462.0,437.0,446.5,40705.0,18183362.4,1.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BGWT
