symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
BNL,Bottlers Nepal Limited (Balaju),Others,2011-04-19,700.0,713.0,713.0,713.0,10.0,7130.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-04-26,713.0,727.0,727.0,727.0,428755.0,311704896.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-08,727.0,755.0,741.0,755.0,23.0,17225.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-09,755.0,785.0,770.0,785.0,30.0,23370.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-12,785.0,816.0,800.0,816.0,25.0,20160.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-13,816.0,832.0,832.0,832.0,25.0,20800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-14,832.0,848.0,848.0,848.0,14.0,11872.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-15,848.0,890.0,890.0,890.0,10.0,8900.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-16,890.0,907.0,907.0,907.0,17.0,15419.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-19,907.0,952.0,952.0,952.0,30.0,28560.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-20,907.0,952.0,952.0,952.0,30.0,28560.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-21,990.0,1009.0,1009.0,1009.0,10.0,10090.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-23,1009.0,1080.0,1059.0,1080.0,70.0,74760.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-26,1080.0,1179.0,1134.0,1179.0,110.0,126300.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-27,1179.0,1250.0,1202.0,1250.0,130.0,158420.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-29,1250.0,1364.0,1312.0,1364.0,180.0,241620.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-06-30,1364.0,1489.0,1432.0,1489.0,190.0,279450.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-07-05,1489.0,1548.0,1518.0,1548.0,20.0,30660.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-07-10,1548.0,1702.0,1578.0,1702.0,550.0,896600.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
BNL,Bottlers Nepal Limited (Balaju),Others,2011-07-11,1702.0,1872.0,1736.0,1872.0,50.0,90240.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/BNL
