symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
CSY,Citizens Santulit Yojana,Others,2026-02-17,10.0,10.0,9.03,9.17,33920.0,309814.6,-8.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-02-22,9.01,9.22,9.0,9.15,20020.0,181770.9,-0.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-02-23,8.99,9.23,8.99,9.05,21880.0,199142.5,-1.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-02-24,8.87,9.36,8.87,9.06,15980.0,145467.8,0.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-02-25,9.0,9.91,9.0,9.32,212030.0,2032094.7,2.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-02-26,9.4,9.5,9.1,9.28,7600.0,70140.81,-0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-01,9.25,9.46,9.11,9.3,4790.0,44364.9,0.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-03,9.12,9.41,8.99,9.24,4281.0,39484.69,-0.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-10,9.06,9.56,9.02,9.56,14200.0,131166.0,3.46,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-11,9.75,9.75,9.27,9.69,9411.0,89215.14,1.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-12,9.5,9.88,9.21,9.7,16430.0,155432.7,0.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-15,9.69,9.88,9.31,9.6,17343.0,167346.5,-1.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-16,9.44,9.78,9.26,9.78,17193.0,163323.54,1.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-17,9.59,9.63,9.31,9.63,212210.0,2040901.0,-1.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-19,9.5,9.79,9.33,9.47,8950.0,85031.9,-1.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-22,9.29,9.79,9.17,9.79,210730.0,2039399.5,3.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-23,9.6,9.72,9.25,9.51,14762.0,139624.18,-2.86,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-24,9.34,9.6,9.34,9.6,8650.0,82108.0,0.95,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-25,9.46,9.8,9.42,9.8,17685.0,169960.11,2.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-26,9.61,9.74,9.38,9.57,32100.0,309307.5,-2.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-29,9.45,9.68,9.45,9.6,23870.0,229090.2,0.31,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-30,9.42,9.7,9.42,9.53,8220.0,78520.0,-0.73,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-03-31,9.34,9.53,9.34,9.45,11000.0,104028.6,-0.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-01,9.45,9.5,9.27,9.42,9651.0,90958.95,-0.32,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-02,9.4,9.58,9.24,9.5,8350.0,78850.0,0.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-05,9.33,9.4,9.33,9.37,6200.0,57990.0,-1.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-06,9.2,9.46,9.14,9.46,8950.0,83632.2,0.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-07,9.3,9.5,9.21,9.42,7490.0,70367.72,-0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-08,9.4,9.51,9.4,9.51,5710.0,53984.8,0.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-09,9.32,9.68,9.32,9.68,6191.0,58588.84,1.79,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-10,9.68,9.68,9.49,9.54,10442.0,100407.0,-1.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-13,9.35,9.53,9.35,9.4,14960.0,140673.6,-1.47,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-15,9.22,9.65,9.22,9.65,19310.0,181438.6,2.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-16,9.46,9.64,9.46,9.55,6760.0,64418.6,-1.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-17,9.36,9.6,9.3,9.6,7780.0,73591.9,0.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-20,9.32,9.6,9.32,9.5,10860.0,102193.4,-1.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-21,9.4,9.45,9.36,9.42,12900.0,121405.5,-0.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
CSY,Citizens Santulit Yojana,Others,2026-04-22,9.32,9.5,9.32,9.5,4650.0,43810.0,0.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/CSY
