symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-05-21,1000.0,1025.0,996.0,1025.0,1195.0,1213265.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-05-22,1018.0,1025.0,1015.0,1024.0,1066.0,1085557.5,-0.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-05-25,1015.0,1030.0,1010.0,1026.26,1433.0,1454159.0,0.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-05-26,1015.0,1045.0,1015.0,1015.0,2286.0,2376985.0,-1.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-05-27,1017.1,1025.0,1010.1,1025.0,325.0,331800.0,0.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-05-28,1015.1,1025.0,1015.1,1017.1,75.0,76430.0,-0.77,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-02,1010.1,1037.4,1010.1,1037.4,475.0,489335.0,2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-03,1020.0,1031.0,1020.0,1025.0,265.0,272007.5,-1.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-04,1015.0,1021.0,1015.0,1021.0,150.0,152550.0,-0.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-05,1000.6,1030.3,1000.6,1029.0,475.0,486025.0,0.78,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-08,1030.0,1040.0,1026.0,1030.0,235.0,242135.0,0.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-09,1025.0,1045.0,1020.0,1026.0,3045.0,3177250.0,-0.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-10,1026.0,1040.0,1017.0,1038.29,650.0,671040.0,1.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-11,1018.0,1030.0,1018.0,1030.0,75.0,76725.0,-0.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-12,1030.0,1035.0,1030.0,1035.0,50.0,51625.0,0.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-15,1025.0,1035.0,1025.0,1035.0,165.0,170065.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-16,1024.0,1024.0,1024.0,1024.0,100.0,102400.0,-1.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-17,1024.0,1024.0,1024.0,1024.0,50.0,51200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-18,1025.0,1029.0,1025.0,1029.0,475.0,488000.0,0.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-19,1030.1,1039.0,1030.1,1039.0,375.0,388802.5,0.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-22,1026.0,1039.0,1026.0,1039.0,75.0,77275.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-23,1045.0,1045.0,1026.0,1027.0,2476.0,2584495.0,-1.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-24,1030.0,1030.1,1030.0,1030.1,50.0,51502.5,0.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-25,1030.1,1047.0,1028.0,1028.0,290.0,301887.5,-0.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-29,1028.0,1045.0,1028.0,1045.0,450.0,469825.0,1.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-06-30,1024.2,1026.0,1024.2,1026.0,55.0,56376.0,-1.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-01,1026.0,1030.0,1026.0,1030.0,75.0,77150.0,0.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-02,1030.0,1030.0,1030.0,1030.0,50.0,51500.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-03,1030.0,1040.0,1026.0,1026.5,110.0,113225.0,-0.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-06,1020.0,1030.0,1020.0,1025.0,150.0,153700.0,-0.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-07,1023.0,1023.0,1023.0,1023.0,15.0,15345.0,-0.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-08,1023.0,1023.1,1023.0,1023.1,50.0,51152.5,0.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-09,1026.0,1026.0,1025.0,1025.0,100.0,102550.0,0.19,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-10,1020.1,1020.1,1020.1,1020.1,25.0,25502.5,-0.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-13,1020.1,1030.0,1020.1,1030.0,85.0,87302.5,0.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-14,1010.0,1030.0,1010.0,1020.0,300.0,304667.5,-0.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-15,1010.0,1010.0,1003.0,1010.0,100.0,100825.0,-0.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-16,1010.0,1050.0,1010.0,1050.0,300.0,311657.5,3.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-20,1029.0,1029.0,1005.5,1005.5,150.0,151862.5,-4.24,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-21,1010.0,1010.0,1004.0,1006.1,350.0,352312.5,0.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-22,1006.0,1020.0,1006.0,1010.1,170.0,172165.0,0.4,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-23,1010.0,1010.1,1008.1,1010.0,455.0,459470.0,-0.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-24,1008.0,1010.0,1004.0,1010.0,140.0,140995.5,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-27,1005.0,1025.0,1005.0,1012.0,130.0,131927.5,0.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-28,1005.0,1011.0,1005.0,1009.0,75.0,75675.0,-0.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-29,1010.1,1012.1,1010.1,1012.03,310.0,313520.0,0.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-30,1010.0,1012.0,1010.0,1012.0,50.0,50550.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-07-31,1010.0,1010.0,1005.1,1007.1,155.0,156172.0,-0.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-08-03,1005.3,1008.0,1005.3,1008.0,130.0,130879.0,0.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-08-04,1016.0,1016.0,1005.0,1005.77,530.0,533060.5,-0.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
EBLD91,7.50% Everest Bank Limited Debenture  2091,Commercial Bank,2025-08-05,1000.0,1005.0,1000.0,1005.0,55.0,55150.0,-0.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/EBLD91
