symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-08-28,10.0,10.0,10.0,10.0,100.0,1000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-08-31,9.81,9.81,9.0,9.0,3040.0,27683.0,-10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-01,8.85,9.2,8.7,9.02,3600.0,32300.0,0.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-02,8.95,9.01,8.69,8.84,8500.0,75254.9,-2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-03,8.68,9.28,8.68,9.1,5350.0,48275.0,2.94,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-04,8.92,8.92,8.8,8.82,2200.0,19484.0,-3.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-07,8.75,9.15,8.75,9.0,2400.0,21504.0,2.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-08,9.0,9.3,9.0,9.12,3850.0,35178.0,1.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-21,8.94,9.0,8.8,8.96,2300.0,20394.0,-1.75,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-23,8.8,8.96,8.8,8.96,4390.0,38926.9,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-24,8.8,8.91,8.79,8.85,1100.0,9713.0,-1.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-25,8.81,8.97,8.81,8.9,700.0,6212.0,0.56,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-09-28,9.02,9.79,8.8,9.79,10100.0,90509.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-07,9.6,9.6,9.07,9.07,4050.0,37308.5,-7.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-08,9.25,9.25,8.89,9.25,800.0,7241.0,1.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-09,9.08,9.4,9.08,9.4,2100.0,19395.0,1.62,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-12,9.22,9.22,9.0,9.0,900.0,8226.0,-4.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-13,8.82,8.9,8.65,8.9,1200.0,10520.0,-1.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-14,9.05,9.05,8.87,8.9,900.0,8032.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-15,8.76,9.07,8.76,9.06,1700.0,15302.0,1.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-16,8.89,9.1,8.85,9.1,2200.0,19813.0,0.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-19,8.92,8.94,8.77,8.94,2500.0,22199.0,-1.76,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-26,9.0,9.11,8.95,9.11,6600.0,59223.0,1.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
GBIMESY2,Global IME Samunnat Yojana -II,Others,2025-10-28,9.0,9.0,8.81,8.83,1200.0,10732.0,-3.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GBIMESY2
