symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2015-12-22,315.0,321.0,321.0,321.0,10.0,3210.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-01-04,321.0,327.0,327.0,327.0,10.0,3270.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-01-05,327.0,339.0,333.0,339.0,20.0,6720.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-01-07,339.0,345.0,345.0,345.0,10.0,3450.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-01-11,345.0,379.0,351.0,379.0,50.0,18250.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-01-12,379.0,416.0,386.0,416.0,100.0,40830.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-05-08,416.0,436.0,436.0,436.0,20.0,8720.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-05-09,436.0,444.0,444.0,444.0,10.0,4440.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-05-15,444.0,452.0,452.0,452.0,10.0,4520.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-05-18,452.0,461.0,461.0,461.0,10.0,4610.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-05-22,461.0,507.0,484.0,507.0,60.0,29770.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-05-24,507.0,532.0,532.0,532.0,10.0,5320.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-06-06,532.0,542.0,542.0,542.0,10.0,5420.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-06-08,542.0,552.0,552.0,552.0,11.0,6072.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-06-20,552.0,563.0,563.0,563.0,10.0,5630.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-06-29,563.0,574.0,574.0,574.0,10.0,5740.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-07-14,574.0,585.0,585.0,585.0,11.0,6435.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-07-19,585.0,596.0,596.0,596.0,20.0,11920.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-07-20,596.0,607.0,607.0,607.0,10.0,6070.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-07-21,607.0,661.0,637.0,661.0,31.0,20131.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-07-25,661.0,674.0,674.0,674.0,10.0,6740.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-07-26,674.0,687.0,687.0,687.0,10.0,6870.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-08-03,687.0,714.0,700.0,714.0,20.0,14140.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-08-04,714.0,728.0,728.0,728.0,11.0,8008.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-08-16,728.0,756.0,742.0,756.0,20.0,14980.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-08-22,756.0,801.0,771.0,801.0,30.0,23580.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-08-30,801.0,817.0,817.0,817.0,10.0,8170.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-08-31,817.0,865.0,833.0,865.0,31.0,26319.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-01,865.0,882.0,882.0,882.0,11.0,9702.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-03,882.0,899.0,899.0,899.0,10.0,8990.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-04,882.0,899.0,899.0,899.0,10.0,8990.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-07,899.0,980.0,943.0,980.0,30.0,28840.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-14,980.0,999.0,999.0,999.0,10.0,9990.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-18,999.0,1079.0,1018.0,1079.0,160.0,168930.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-20,1079.0,1144.0,1100.0,1144.0,30.0,33660.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-21,1144.0,1225.0,1201.0,1225.0,20.0,24260.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-25,1225.0,1249.0,1249.0,1249.0,10.0,12490.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-26,1249.0,1311.0,1311.0,1311.0,40.0,52440.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-09-27,1311.0,1442.0,1337.0,1442.0,63.0,88080.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-10-05,1442.0,1470.0,1470.0,1470.0,11.0,16170.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-10-06,1470.0,1499.0,1499.0,1499.0,10.0,14990.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-10-16,1499.0,1528.0,1528.0,1528.0,10.0,15280.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-10-18,1528.0,1680.0,1558.0,1680.0,113.0,186557.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-10-19,1680.0,1848.0,1713.0,1848.0,55.0,97955.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-10-20,1848.0,2032.0,1884.0,2032.0,51.0,99972.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-10-23,2032.0,2235.0,2072.0,2235.0,72.0,156820.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
GILB,Global IME Laghubitta Bittiya Sanstha Limited,Microfinance,2016-10-24,2235.0,2458.0,2279.0,2458.0,563.0,1379434.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/GILB
