symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-08,228.0,250.8,228.0,250.8,780.0,193340.8,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-09,255.8,275.8,255.8,275.8,1308.0,360256.4,9.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-10,281.3,303.3,281.3,303.3,6250.0,1895085.0,9.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-11,309.3,333.6,309.3,333.6,74264.0,24693767.4,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-14,340.2,361.0,315.0,316.0,56104.0,18276158.6,-5.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-15,316.0,331.0,305.0,327.0,24430.0,7761388.8,3.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-16,333.0,335.0,314.0,317.1,28602.0,9232691.0,-3.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-17,315.0,327.0,310.7,325.9,19939.0,6416941.9,2.78,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-18,332.4,355.0,322.5,355.0,62134.0,21359600.2,8.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-21,362.0,362.1,336.0,337.0,25805.0,8870087.2,-5.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-22,334.7,343.7,328.3,335.0,17151.0,5687991.5,-0.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-23,335.0,335.0,326.0,332.0,13919.0,4585691.2,-0.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-24,332.0,339.0,321.0,335.0,23852.0,7891223.1,0.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-25,328.4,341.0,323.6,329.9,15796.0,5233903.5,-1.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-26,323.4,325.0,318.0,322.0,8989.0,2875745.4,-2.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-28,315.6,318.2,301.0,303.0,24587.0,7625635.9,-5.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-29,297.0,311.1,290.0,300.0,14061.0,4176257.5,-0.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
HHL,Himalayan Hydropower Limited,Hydropower,2022-08-30,302.0,309.5,296.2,296.2,9010.0,2704967.3,-1.27,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HHL
