symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
HLICF,HLI Large Cap Fund,Others,2025-11-05,10.0,10.0,9.28,9.7,3020.0,28790.2,-3.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-06,9.51,9.8,9.33,9.5,7500.0,71349.0,-2.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-09,9.31,9.32,9.13,9.17,3290.0,30242.4,-3.47,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-10,9.1,9.2,8.99,9.0,8200.0,74164.0,-1.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-11,9.0,9.45,9.0,9.45,7820.0,72302.0,5.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-12,9.35,9.35,8.99,9.02,3300.0,29948.0,-4.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-13,9.0,9.1,9.0,9.1,600.0,5412.0,0.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-16,8.92,9.28,8.89,8.89,7870.0,71451.4,-2.31,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-17,8.8,9.1,8.8,9.1,3000.0,26965.0,2.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-18,8.93,9.1,8.93,9.1,1800.0,16159.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-19,8.95,9.3,8.93,9.3,12800.0,114538.0,2.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-20,9.14,9.25,9.01,9.25,1810.0,16497.5,-0.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-23,9.07,9.15,9.0,9.01,7100.0,64322.5,-2.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
HLICF,HLI Large Cap Fund,Others,2025-11-24,8.95,9.3,8.92,9.3,3800.0,34323.0,3.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/HLICF
