symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
IHL,Ingwa Hydropower Ltd,Hydropower,2023-06-20,291.8,320.9,291.0,320.9,69635.0,22078936.8,9.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-06-21,327.0,352.9,320.9,340.1,38920.0,13127518.3,5.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-06-22,346.8,346.8,314.0,316.0,34344.0,11128906.4,-7.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-06-25,320.0,320.0,292.0,305.0,34233.0,10287833.0,-3.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-06-26,299.3,320.0,294.0,312.0,26084.0,7884962.7,2.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-06-27,305.9,315.0,302.0,314.9,15285.0,4692311.0,0.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-06-28,315.0,320.0,290.2,294.0,14295.0,4328908.5,-6.64,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-07-02,289.3,298.0,282.0,282.0,12473.0,3584437.0,-4.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-07-03,276.4,292.3,271.0,274.4,8589.0,2385340.4,-2.7,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-07-04,270.0,279.0,267.8,276.0,7019.0,1906588.5,0.58,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
IHL,Ingwa Hydropower Ltd,Hydropower,2023-07-05,270.5,283.4,260.0,264.0,11648.0,3099510.0,-4.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/IHL
