symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-02,1000.0,1025.0,1000.0,1025.0,165.0,167965.0,2.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-03,1030.0,1050.0,1029.0,1043.0,175.0,181410.0,1.76,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-07,1061.0,1062.7,1061.0,1062.7,70.0,74312.0,1.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-14,1052.0,1060.0,1052.0,1060.0,125.0,132175.0,-0.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-15,1063.0,1080.0,1062.2,1080.0,175.0,186440.0,1.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-16,1071.0,1071.0,1071.0,1071.0,25.0,26775.0,-0.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-18,1075.0,1113.0,1075.0,1092.1,1110.0,1227347.5,1.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-22,1071.0,1071.0,1049.6,1049.6,25.0,26454.0,-3.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-24,1070.5,1091.9,1070.5,1091.9,135.0,145257.5,4.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-25,1095.0,1095.0,1091.0,1091.0,500.0,547100.0,-0.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-28,1090.0,1112.0,1080.0,1112.0,2340.0,2549590.0,1.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-29,1128.0,1134.2,1128.0,1130.0,450.0,509055.0,1.62,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-04-30,1110.5,1110.5,1110.5,1110.5,25.0,27762.5,-1.73,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-05-05,1125.0,1125.0,1125.0,1125.0,55.0,61875.0,1.31,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
LBBLD89,11% LBBL Debenture 2089,Others,2024-05-06,1115.0,1115.0,1112.0,1112.0,75.0,83475.0,-1.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LBBLD89
