symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
LVF2,Laxmi Value Fund-II,Others,2023-09-21,10.0,10.0,9.99,10.0,500.0,4997.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-09-26,9.81,9.81,9.62,9.62,200.0,1943.0,-3.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-09-27,9.43,9.43,8.65,8.65,5775.0,50188.75,-10.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-01,8.48,8.48,7.86,7.94,9040.0,72177.5,-8.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-02,7.9,8.05,7.66,7.86,7000.0,55049.0,-1.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-03,7.71,7.73,7.56,7.62,5600.0,42599.0,-3.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-04,7.47,7.74,7.36,7.64,4225.0,32023.75,0.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-05,7.49,7.65,7.36,7.55,4070.0,30683.25,-1.18,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-08,7.45,7.62,7.42,7.53,5360.0,40227.0,-0.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-09,7.53,7.79,7.53,7.79,1800.0,13790.0,3.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-10,7.64,7.85,7.64,7.85,2050.0,16011.5,0.77,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-11,7.85,7.86,7.7,7.7,4450.0,34718.75,-1.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-12,7.61,7.75,7.61,7.71,2500.0,19266.0,0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-16,7.56,7.85,7.56,7.7,3200.0,24593.5,-0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-17,7.69,7.69,7.61,7.61,4575.0,35109.75,-1.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-18,7.55,7.76,7.55,7.61,1925.0,14779.75,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-19,7.46,7.66,7.46,7.65,1700.0,12807.0,0.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-29,7.52,7.65,7.41,7.5,2200.0,16471.0,-1.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-30,7.35,7.54,7.3,7.51,2300.0,17075.25,0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-10-31,7.4,7.67,7.4,7.67,2100.0,15734.0,2.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-01,7.52,7.67,7.52,7.67,2200.0,16619.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-02,7.52,7.52,7.45,7.46,500.0,3734.0,-2.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-05,7.33,7.33,7.23,7.33,1600.0,11698.0,-1.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-06,7.21,7.33,7.12,7.22,2915.0,21075.75,-1.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-07,7.13,7.33,7.13,7.23,1160.0,8401.6,0.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-08,7.15,7.28,7.15,7.27,1400.0,10153.0,0.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-09,7.2,7.23,7.09,7.23,500.0,3588.0,-0.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-20,7.11,7.3,7.11,7.3,700.0,5086.0,0.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-21,7.17,7.3,7.17,7.3,525.0,3790.25,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-22,7.3,7.37,7.19,7.37,3800.0,27604.0,0.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-23,7.25,7.51,7.25,7.51,2150.0,15726.0,1.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-26,7.36,7.54,7.36,7.4,2400.0,17748.0,-1.46,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-27,7.3,7.38,7.3,7.38,1950.0,14340.0,-0.27,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-28,7.38,7.38,7.3,7.34,1000.0,7333.0,-0.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-29,7.34,7.5,7.33,7.39,885.0,6547.5,0.68,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-11-30,7.39,7.65,7.32,7.65,5700.0,42906.0,3.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-12-03,7.51,7.6,7.5,7.5,10400.0,78030.0,-1.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-12-04,7.6,7.7,7.4,7.7,2700.0,20607.0,2.67,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-12-05,7.56,7.69,7.56,7.63,1700.0,12924.0,-0.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-12-06,7.6,7.62,7.45,7.48,4100.0,30844.0,-1.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-12-07,7.35,7.51,7.35,7.48,1700.0,12597.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
LVF2,Laxmi Value Fund-II,Others,2023-12-11,7.45,7.67,7.45,7.54,2180.0,16378.2,0.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/LVF2
