symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
MABEL,Mabilung Energy Limited,Hydropower,2025-11-04,317.7,349.4,317.7,349.4,110.0,36858.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-05,356.3,384.3,356.3,384.3,190.0,72328.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-06,391.9,422.7,391.9,422.7,330.0,138424.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-09,431.1,464.9,431.1,464.9,610.0,282758.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-10,474.1,511.3,474.1,511.3,1180.0,602418.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-11,515.0,562.4,515.0,562.4,5830.0,3277472.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-12,573.6,596.7,511.0,516.2,125480.0,66038057.0,-8.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-13,506.0,567.8,500.0,567.8,40560.0,22001397.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-16,560.0,590.5,523.9,543.0,78776.0,43943498.0,-4.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-17,546.0,597.3,536.5,583.0,62515.0,35875128.1,7.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-18,583.0,641.3,560.1,641.3,40588.0,24953664.1,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
MABEL,Mabilung Energy Limited,Hydropower,2025-11-19,654.1,705.4,628.2,705.4,61386.0,40925671.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MABEL
