symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-16,335.0,335.0,301.5,301.5,19161.0,5796244.5,-10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-17,295.5,295.5,271.4,277.6,62750.0,17336272.7,-7.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-18,276.0,302.7,274.0,290.5,18197.0,5258835.8,4.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-21,286.0,291.5,280.4,282.0,18536.0,5260662.6,-2.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-22,277.0,285.0,275.3,280.0,11239.0,3140959.0,-0.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-23,280.0,292.5,279.0,290.0,22386.0,6446054.3,3.57,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-24,290.0,290.0,281.0,286.0,14243.0,4064143.0,-1.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-28,282.1,300.0,282.1,289.0,31924.0,9362520.0,1.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-30,283.3,294.0,280.0,280.0,13559.0,3877347.0,-3.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-05-31,274.5,298.0,274.5,298.0,21106.0,5945474.7,6.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-06-01,293.0,294.0,278.0,286.1,8660.0,2482836.5,-3.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-06-04,281.0,302.0,281.0,298.8,23880.0,6997577.8,4.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-06-05,295.0,301.0,290.0,297.0,13685.0,4048619.4,-0.6,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
MKHL,Mai Khola Hydropower Limited,Hydropower,2023-06-06,291.1,307.0,286.6,301.0,16342.0,4904069.5,1.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MKHL
