symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-20,288.4,299.9,259.6,259.6,31379.0,8284345.7,-9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-21,254.5,254.5,233.7,233.8,27890.0,6713779.0,-9.94,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-22,229.2,257.1,225.0,257.0,22578.0,5512824.0,9.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-23,252.0,270.0,247.0,258.5,20520.0,5312029.0,0.58,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-26,254.0,263.0,244.1,254.9,30077.0,7745314.9,-1.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-27,254.9,275.0,250.1,274.0,41342.0,11073847.7,7.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-28,269.0,284.0,267.7,284.0,25969.0,7152222.0,3.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-29,279.2,286.2,275.9,280.0,21359.0,6023222.2,-1.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-11-30,275.0,281.0,266.3,279.0,19130.0,5249216.0,-0.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,Others,2023-12-03,282.5,282.5,267.3,275.5,11169.0,3024794.0,-1.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/MMKJL
