symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NBL,Nepal Bank Limited,Commercial Bank,2012-12-17,0.0,395.0,380.0,395.0,30.0,11620.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2012-12-18,395.0,414.0,414.0,414.0,10.0,4140.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2012-12-19,414.0,450.0,434.0,450.0,40.0,17600.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2012-12-20,450.0,490.0,472.0,490.0,31.0,14911.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2012-12-23,490.0,534.0,514.0,534.0,40.0,20960.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2012-12-24,534.0,609.0,544.0,609.0,1292.0,771064.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2012-12-26,609.0,645.0,598.0,645.0,91.0,57505.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2012-12-27,645.0,709.0,677.0,709.0,1260.0,869590.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2012-12-31,709.0,779.0,744.0,779.0,6361.0,4806717.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-01,779.0,856.0,817.0,856.0,40.0,33550.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-02,856.0,941.0,260.0,941.0,26591.0,12660384.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-03,941.0,1035.0,959.0,1035.0,1573.0,1598092.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-06,1035.0,1138.0,1086.0,1138.0,4983.0,5655938.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-07,1138.0,1251.0,1194.0,1251.0,11538.0,14413998.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-08,1251.0,1321.0,1251.0,1295.0,8462.0,10966741.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-09,1295.0,1270.0,1166.0,1166.0,5575.0,6740564.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-10,1166.0,1143.0,1050.0,1050.0,2609.0,2742956.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-13,1050.0,1029.0,990.0,1000.0,8816.0,8818154.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-15,1000.0,999.0,948.0,950.0,4209.0,4021313.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-16,950.0,940.0,919.0,931.0,1956.0,1816815.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-17,931.0,932.0,915.0,926.0,3713.0,3421899.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-20,926.0,935.0,884.0,903.0,1931.0,1750567.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-21,903.0,935.0,895.0,917.0,1308.0,1185236.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-22,917.0,969.0,904.0,950.0,607.0,562899.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-23,950.0,975.0,935.0,970.0,1882.0,1803209.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-24,970.0,989.0,925.0,950.0,1717.0,1617282.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-27,950.0,965.0,920.0,930.0,1613.0,1506340.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-28,930.0,932.0,915.0,924.0,2067.0,1902573.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-30,924.0,936.0,921.0,930.0,855.0,791581.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-01-31,930.0,940.0,925.0,930.0,1442.0,1337814.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
NBL,Nepal Bank Limited,Commercial Bank,2013-02-03,930.0,940.0,919.0,919.0,2609.0,2425144.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBL
