symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-04-24,1000.0,1000.0,1000.0,1000.0,10.0,10000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-04-25,1000.0,1000.0,1000.0,1000.0,12500.0,10625000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-06-01,1020.0,1020.0,1020.0,1020.0,50.0,51000.0,2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-09-13,999.6,999.6,922.2,922.2,50.0,48027.0,-9.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-09-15,903.8,903.8,903.8,903.8,25.0,22595.0,-2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-09-22,885.8,885.8,880.0,880.0,109.0,95971.0,-2.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-12-07,862.4,862.4,862.4,862.4,50.0,43120.0,-2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-12-11,845.2,845.2,845.2,845.2,20.0,16904.0,-1.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2022-12-29,828.3,828.3,811.8,811.8,32.0,26340.6,-3.95,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-01,795.6,795.6,780.0,780.0,425.0,332890.0,-3.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-02,764.4,770.0,750.7,760.0,505.0,385266.9,-2.56,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-03,750.1,761.0,750.1,760.0,217.0,164592.5,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-04,760.0,775.2,760.0,775.2,75.0,57380.0,2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-05,770.0,770.0,770.0,770.0,25.0,19250.0,-0.67,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-08,785.0,785.0,754.1,754.1,75.0,57710.0,-2.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-09,754.0,770.0,750.0,770.0,150.0,113402.5,2.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-10,755.0,770.1,750.2,750.2,176.0,133033.3,-2.57,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-12,741.0,745.1,736.0,745.1,130.0,96355.0,-0.68,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-17,735.0,735.0,725.3,725.3,50.0,36507.5,-2.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-18,725.2,725.2,725.2,725.2,30.0,21756.0,-0.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-23,711.0,725.0,711.0,725.0,150.0,107400.0,-0.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-25,724.0,729.5,722.4,722.4,125.0,90700.5,-0.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-26,720.0,739.5,720.0,739.5,100.0,72737.5,2.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-29,754.2,754.2,740.0,740.0,80.0,59555.0,0.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-30,740.0,740.0,733.0,733.0,250.0,183825.0,-0.95,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-01-31,722.1,722.1,722.0,722.0,40.0,28882.5,-1.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-01,729.0,729.0,729.0,729.0,25.0,18225.0,0.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-02,730.0,730.0,730.0,730.0,70.0,51100.0,0.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-05,717.1,731.0,717.1,731.0,50.0,36202.5,0.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-06,730.0,730.0,730.0,730.0,44.0,32120.0,-0.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-07,738.0,738.0,738.0,738.0,25.0,18450.0,1.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-08,735.0,749.0,735.0,749.0,55.0,40845.0,1.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-09,740.0,740.0,740.0,740.0,25.0,18500.0,-1.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-12,745.0,754.8,745.0,754.8,69.0,51620.6,2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-14,754.0,754.8,754.0,754.8,45.0,33946.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-15,750.0,750.0,745.0,745.0,90.0,67175.0,-1.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-16,745.0,746.0,745.0,745.5,50.0,37270.0,0.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-20,735.0,749.7,735.0,749.7,50.0,37117.5,0.56,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-22,745.0,745.0,736.1,736.1,55.0,40752.5,-1.81,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-23,736.1,750.0,736.1,750.0,130.0,97083.0,1.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-26,740.0,760.0,740.0,760.0,75.0,56370.0,1.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-02-28,750.0,750.0,750.0,750.0,25.0,18750.0,-1.32,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-03-02,750.0,750.0,750.0,750.0,25.0,18750.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-03-05,740.0,740.0,740.0,740.0,25.0,18500.0,-1.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-03-07,754.0,764.9,754.0,764.9,320.0,243045.0,3.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-03-09,757.0,757.0,755.0,755.0,150.0,113450.0,-1.29,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-03-12,740.0,740.0,740.0,740.0,10.0,7400.0,-1.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
NBLD87,8.5% Nepal Bank Debenture 2087,Commercial Bank,2023-03-13,750.0,750.0,750.0,750.0,55.0,41250.0,1.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NBLD87
