symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-11,10.0,10.0,9.0,9.0,1327.0,12340.74,-10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-12,8.82,8.82,8.1,8.2,19173.0,155712.8,-8.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-13,8.04,8.27,7.83,8.15,12510.0,101533.5,-0.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-14,8.15,8.15,7.84,7.9,14350.0,114484.5,-3.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-15,7.75,7.86,7.55,7.65,7950.0,61347.75,-3.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-18,7.51,8.0,7.51,7.65,6680.0,51130.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-20,7.5,7.95,7.5,7.76,4400.0,33572.0,1.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-21,7.76,8.06,7.75,7.75,3430.0,26954.0,-0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-22,7.6,8.16,7.45,7.56,3650.0,28341.0,-2.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-25,7.43,7.85,7.43,7.61,4720.0,36037.5,0.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-26,7.76,7.76,7.61,7.61,3000.0,22909.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-27,7.46,7.8,7.46,7.62,8375.0,64081.25,0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-28,7.47,8.19,7.47,8.19,2920.0,22364.0,7.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-02-29,8.03,8.03,7.57,7.57,1140.0,8741.8,-7.57,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-03,7.57,8.22,7.46,8.21,4625.0,35366.5,8.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-05,8.05,8.63,7.81,8.44,5125.0,41753.75,2.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-06,8.4,8.87,8.4,8.7,1725.0,14897.5,3.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-07,8.53,8.87,7.82,8.16,19073.0,154868.68,-6.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-10,8.0,8.0,7.71,7.76,2300.0,17920.0,-4.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-12,7.75,8.31,7.75,8.31,5750.0,45807.5,7.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-13,8.15,8.45,8.15,8.3,2200.0,18234.0,-0.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-14,8.14,8.2,8.1,8.2,3100.0,25244.0,-1.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-17,8.04,8.1,7.89,7.92,13273.0,105194.97,-3.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-18,7.77,7.95,7.48,7.76,13120.0,101868.4,-2.02,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-19,7.76,7.84,7.63,7.75,5600.0,43175.5,-0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-20,7.75,8.3,7.75,8.27,4020.0,31949.55,6.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-21,8.3,8.75,8.11,8.38,4100.0,33861.25,1.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-25,8.22,8.22,7.84,8.06,5530.0,44328.0,-3.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-26,8.0,8.12,7.85,8.12,2450.0,19544.5,0.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-27,8.2,8.58,8.08,8.08,6310.0,51428.85,-0.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-28,7.92,8.16,7.92,8.16,4200.0,33644.0,0.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-03-31,8.0,8.14,7.84,8.14,5810.0,46004.5,-0.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-01,7.98,8.0,7.85,7.85,3625.0,28811.25,-3.56,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-02,7.8,7.94,7.79,7.94,5650.0,44623.5,1.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-03,7.8,7.95,7.69,7.8,12575.0,98503.0,-1.76,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-04,7.65,7.71,7.65,7.71,500.0,3848.0,-1.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-07,7.66,7.95,7.66,7.8,4500.0,34803.0,1.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-09,7.8,8.0,7.8,7.96,4660.0,36652.0,2.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-10,7.81,7.96,7.67,7.81,2925.0,23041.75,-1.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-14,7.66,7.85,7.66,7.8,1500.0,11615.0,-0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-15,7.7,7.75,7.61,7.7,1900.0,14621.5,-1.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-16,7.7,7.7,7.7,7.7,800.0,6160.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-18,7.7,8.25,7.65,8.14,5670.0,45136.05,5.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-21,8.3,8.3,8.14,8.14,5225.0,42551.5,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-22,8.3,8.46,8.24,8.39,950.0,7924.25,3.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-24,8.39,8.5,8.24,8.24,1225.0,10262.5,-1.79,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-25,8.4,8.4,8.3,8.39,325.0,2718.75,1.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-28,8.55,8.55,7.87,8.04,1950.0,15893.25,-4.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-29,7.88,8.33,7.32,8.25,4615.0,36246.45,2.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-04-30,8.09,8.4,8.09,8.24,1675.0,13829.25,-0.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-02,8.08,8.08,7.94,8.05,2525.0,20232.25,-2.31,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-05,8.21,8.53,8.0,8.0,3225.0,26768.25,-0.62,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-06,7.92,7.92,7.5,7.57,7100.0,54805.75,-5.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-07,7.56,8.09,7.56,8.09,2995.0,23208.45,6.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-08,8.25,8.25,7.93,7.93,2125.0,17051.25,-1.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-09,7.78,7.9,7.71,7.76,6020.0,47391.0,-2.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-12,7.85,8.06,7.71,8.0,5775.0,44937.0,3.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-13,8.16,8.46,7.79,7.79,1625.0,13336.4,-2.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-14,7.64,7.91,7.64,7.65,4125.0,31650.0,-1.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-15,7.55,7.78,7.55,7.7,2825.0,21642.45,0.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-16,7.56,8.38,7.56,8.22,3400.0,26700.25,6.75,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-19,8.06,8.21,7.75,7.8,8835.0,70623.25,-5.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-20,7.66,8.26,7.66,8.26,4225.0,33352.5,5.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-21,8.42,8.58,7.86,8.01,4325.0,34444.5,-3.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
NICGF2,NIC Asia Growth Fund 2,Others,2024-05-22,8.01,8.46,8.0,8.3,2325.0,18998.5,3.62,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NICGF2
