symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-03-20,107.1,111.3,107.1,111.3,30.0,3276.0,6.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-03-22,113.5,122.4,113.5,122.4,50.0,5899.0,9.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-03-23,124.8,134.6,124.8,134.6,10030.0,1300891.0,9.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-03-26,137.2,148.0,137.2,148.0,140.0,20149.0,9.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-03-27,150.9,162.8,150.9,162.8,8017.0,1299431.4,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-03-28,166.0,169.0,163.0,166.2,27095.0,4499126.2,2.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-03-29,169.5,169.5,163.7,166.0,4654.0,768990.0,-0.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-03-30,163.2,166.8,163.0,163.5,3234.0,533244.0,-1.51,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-02,161.0,163.0,159.0,159.1,24649.0,3960901.0,-2.69,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-03,158.0,163.5,156.0,162.0,13812.0,2190350.6,1.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-04,160.0,168.5,159.0,162.0,2917.0,478665.2,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-05,161.1,167.0,161.1,162.7,9966.0,1648459.1,0.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-06,165.9,168.9,164.0,168.9,3553.0,588223.0,3.81,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-09,165.6,167.0,162.0,164.1,13324.0,2189766.1,-2.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-10,166.0,166.0,164.2,165.0,7331.0,1212038.8,0.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-11,168.3,169.3,163.2,166.0,12807.0,2130920.5,0.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-12,169.3,175.0,169.3,175.0,13492.0,2337591.0,5.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-13,176.9,189.3,169.1,189.3,15127.0,2610140.0,8.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-16,185.6,185.6,180.4,180.4,250.0,45470.0,-4.7,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-17,180.4,180.4,180.4,180.4,50.0,9020.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-18,178.0,178.0,173.4,173.4,32595.0,5801390.0,-3.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-19,176.8,180.2,176.8,180.2,7010.0,1239402.0,3.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-20,180.0,180.0,180.0,180.0,300.0,54000.0,-0.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-23,176.4,176.4,166.5,168.0,6613.0,1113082.8,-6.67,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-24,168.0,171.3,168.0,171.3,4680.0,786834.0,1.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-25,167.9,171.3,167.9,168.1,2763.0,470691.2,-1.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,Commercial Bank,2023-04-26,168.0,174.8,168.0,172.9,16578.0,2831572.7,2.86,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NIMBPO
