symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NMBHF2,NMB Hybrid Fund L-II,Others,2025-04-21,10.0,10.0,9.08,9.23,10900.0,101765.0,-7.7,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-04-22,9.1,9.25,9.06,9.1,14100.0,128385.0,-1.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-04-23,9.0,9.14,8.93,9.05,8600.0,77768.0,-0.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-04-24,9.0,9.11,8.94,9.02,11600.0,104690.2,-0.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-04-27,8.93,9.12,8.93,9.09,10275.0,92729.0,0.78,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-04-28,8.93,9.27,8.93,9.25,9312.0,84130.25,1.76,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-04-29,9.07,9.15,9.01,9.04,5550.0,50550.0,-2.27,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-04-30,8.89,9.11,8.89,9.04,12060.0,109404.9,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-04,8.86,9.2,8.86,9.05,21510.0,193308.0,0.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-05,8.95,9.06,8.88,9.05,17700.0,159089.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-06,8.9,9.0,8.87,9.0,22844.0,203871.6,-0.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-07,9.0,9.06,8.82,8.9,26300.0,233889.0,-1.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-08,8.74,9.08,8.39,8.64,229600.0,1940252.45,-2.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-11,8.47,8.81,8.45,8.47,22700.0,192898.5,-1.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-13,8.34,8.91,8.34,8.47,74729.0,634215.51,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-14,8.35,8.63,8.31,8.41,34500.0,289683.5,-0.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-15,8.33,8.59,8.25,8.46,42690.0,356521.1,0.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-18,8.3,8.65,8.16,8.4,28000.0,236641.0,-0.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-19,8.34,8.61,8.34,8.4,13000.0,109979.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-20,8.25,8.72,8.25,8.64,103510.0,866564.5,2.86,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-21,8.64,8.98,8.47,8.57,14720.0,126799.9,-0.81,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-22,8.58,8.73,8.42,8.67,11550.0,98931.5,1.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-25,8.5,8.8,8.5,8.57,15110.0,132042.1,-1.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-26,8.4,8.74,8.4,8.5,6780.0,57650.0,-0.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-27,8.34,8.58,8.34,8.43,9600.0,80974.0,-0.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-05-28,8.27,9.03,8.27,8.59,15200.0,131430.0,1.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-02,8.43,8.5,8.33,8.5,11900.0,100232.0,-1.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-03,8.38,8.5,8.38,8.42,7910.0,66777.4,-0.94,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-04,8.27,8.74,8.27,8.51,18810.0,160698.5,1.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-05,8.34,8.71,8.21,8.7,19600.0,169673.0,2.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-08,8.53,8.69,8.5,8.66,15719.0,134847.87,-0.46,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-09,8.66,8.82,8.21,8.57,68570.0,576179.1,-1.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-10,8.73,8.73,8.42,8.55,502500.0,4321317.0,-0.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-11,8.5,8.71,8.5,8.69,5940.0,51339.7,1.64,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-12,8.52,8.57,8.52,8.55,9000.0,77023.0,-1.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-15,8.55,9.1,8.55,8.8,694834.0,6263887.5,2.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-16,8.63,8.9,8.5,8.67,5640.0,48764.0,-1.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-17,8.5,8.84,8.44,8.57,11900.0,102244.5,-1.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
NMBHF2,NMB Hybrid Fund L-II,Others,2025-06-18,8.45,8.94,8.45,8.7,6600.0,58171.0,1.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMBHF2
