symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-08,302.3,332.5,302.3,332.5,210.0,68624.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-09,332.6,365.7,332.6,365.7,170.0,60856.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-10,373.0,402.2,373.0,402.2,277.0,110382.9,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-13,410.2,442.4,410.2,442.4,210.0,91147.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-15,449.7,486.6,449.7,486.6,230.0,110614.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-16,496.3,535.2,496.3,535.2,330.0,175662.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-17,536.3,588.7,536.3,588.7,370.0,216289.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-20,600.4,647.5,600.4,647.5,440.0,283744.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-21,660.4,712.2,660.4,712.2,530.0,376195.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-22,712.2,783.4,712.2,783.4,590.0,459384.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-23,799.0,861.7,799.0,861.7,650.0,558564.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-24,878.9,947.8,878.9,947.8,530.0,500643.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-27,966.7,1042.5,966.7,1042.5,940.0,978092.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-28,1042.0,1146.7,1042.0,1146.7,850.0,971581.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-29,1169.6,1261.3,1169.6,1261.3,840.0,1057242.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-04-30,1238.5,1387.4,1238.5,1387.4,810.0,1118666.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-04,1387.6,1526.1,1387.6,1526.1,1410.0,2147703.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-05,1556.6,1678.7,1556.6,1678.7,1500.0,2510172.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-06,1712.0,1846.5,1712.0,1846.5,1540.0,2840310.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-07,1883.4,2031.1,1883.4,2031.1,4840.0,9823949.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-08,2071.7,2234.2,2071.7,2234.2,15950.0,35623382.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-11,2278.8,2457.6,2278.8,2457.6,29180.0,71697241.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-13,2506.7,2703.3,2274.0,2304.7,217680.0,512531348.2,-6.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-14,2305.0,2310.0,2080.1,2081.02,145890.0,310363492.0,-9.71,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-15,2050.0,2255.0,1960.0,2190.06,59233.0,125400472.5,5.24,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-18,2146.3,2180.0,2018.0,2025.07,51818.0,107261698.0,-7.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-19,2020.0,2060.0,1939.0,1955.69,59401.0,117971125.5,-3.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-20,1956.0,1990.0,1891.0,1965.58,45780.0,88140469.5,0.51,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-21,2000.0,2040.0,1907.0,1913.7,27915.0,54128686.5,-2.64,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-22,1890.0,2055.0,1872.0,1988.55,74610.0,147968103.0,3.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-25,1985.0,2023.0,1933.6,1992.7,35397.0,70140995.3,0.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-26,2032.5,2073.0,1936.5,1952.32,20489.0,40318242.1,-2.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-27,1920.0,1940.0,1896.7,1899.79,22118.0,42404383.6,-2.69,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-05-28,1900.0,1900.0,1805.0,1822.27,34583.0,63717963.5,-4.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-02,1822.0,1854.0,1766.0,1823.42,67547.0,122350614.6,0.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-03,1823.0,1890.0,1800.0,1808.45,29581.0,54539213.4,-0.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-04,1801.0,1835.0,1801.0,1822.85,23969.0,43655099.4,0.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-05,1820.1,1831.0,1766.3,1769.73,27046.0,48452119.9,-2.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-08,1755.0,1755.0,1592.8,1595.79,57804.0,95728132.0,-9.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-09,1595.0,1720.0,1536.0,1711.76,46686.0,76547474.1,7.27,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-10,1680.0,1820.0,1680.0,1794.47,35039.0,62835627.8,4.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-11,1830.0,1830.0,1725.0,1776.05,37091.0,65774292.7,-1.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-12,1777.0,1795.5,1656.3,1676.88,29692.0,50961454.3,-5.58,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-15,1650.1,1800.0,1650.1,1721.91,32045.0,56088741.2,2.69,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-16,1756.0,1756.0,1680.0,1680.71,13065.0,22190594.8,-2.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-17,1680.0,1700.0,1646.7,1650.29,14120.0,23442685.0,-1.81,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-18,1650.0,1703.4,1636.0,1651.26,16159.0,26832291.8,0.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
NMIC,Nepal Micro Insurance Company Limited,Insurance,2025-06-19,1630.1,1664.0,1578.0,1583.13,19737.0,31656926.1,-4.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NMIC
