symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-03,10.0,10.0,9.9,10.0,1100.0,10990.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-04,9.85,9.85,9.85,9.85,500.0,4925.0,-1.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-19,9.66,9.66,9.66,9.66,100.0,966.0,-1.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-20,9.47,9.47,8.69,8.69,4400.0,38493.5,-10.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-23,8.52,8.52,7.87,8.06,8190.0,65700.8,-7.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-24,7.9,7.9,7.31,7.66,2950.0,22254.25,-4.96,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-25,7.7,7.95,7.7,7.84,2800.0,21952.0,2.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-26,7.69,7.85,7.69,7.79,5950.0,46264.75,-0.64,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-27,7.64,7.86,7.64,7.8,4325.0,33355.75,0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-04-30,7.95,8.1,7.8,8.06,5100.0,40836.0,3.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-02,8.06,8.23,8.06,8.08,3400.0,27528.0,0.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-03,7.99,8.01,7.94,8.01,6800.0,54309.0,-0.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-04,7.86,8.48,7.85,8.32,10650.0,87298.0,3.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-07,8.32,8.32,8.16,8.16,2175.0,17916.5,-1.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-08,8.0,8.29,7.87,8.29,5100.0,41026.0,1.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-09,8.13,8.13,8.13,8.13,400.0,3252.0,-1.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-10,8.12,8.13,7.99,7.99,1800.0,14538.0,-1.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-11,7.84,8.0,7.84,7.88,5575.0,44484.25,-1.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-14,7.88,8.03,7.88,8.03,1000.0,7943.0,1.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-15,7.87,7.88,7.87,7.88,300.0,2363.0,-1.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-16,7.8,7.82,7.8,7.82,700.0,5467.0,-0.76,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-17,7.97,8.25,7.93,8.1,2525.0,20344.25,3.58,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-18,7.97,8.12,7.97,8.03,2800.0,22459.0,-0.86,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-21,8.03,8.03,7.89,7.95,1600.0,12780.0,-1.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-22,7.81,8.0,7.81,8.0,425.0,3360.25,0.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-23,8.16,8.79,8.16,8.5,2400.0,20569.0,6.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-24,8.33,8.33,8.21,8.22,1400.0,11548.0,-3.29,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-28,8.22,8.22,8.12,8.21,3300.0,27023.49,-0.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-30,8.37,8.56,8.15,8.25,6300.0,52921.49,0.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-05-31,8.3,8.3,8.15,8.21,1404.0,11510.5,-0.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-01,8.05,8.05,7.91,8.01,4125.0,32920.75,-2.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-04,8.01,8.11,8.01,8.11,800.0,6477.0,1.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-05,8.15,8.15,8.1,8.13,3660.0,29764.0,0.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-06,8.29,8.29,8.29,8.29,100.0,829.0,1.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-07,8.25,8.32,8.16,8.23,1600.0,13203.0,-0.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-08,8.1,8.25,8.1,8.25,900.0,7376.0,0.24,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-11,8.1,8.41,8.1,8.31,2950.0,24375.5,0.73,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-12,8.46,8.46,8.15,8.3,2199.0,18145.54,-0.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-13,8.2,8.46,8.19,8.46,5899.0,49359.56,1.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-14,8.3,8.33,8.3,8.33,4830.0,40171.6,-1.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
NSIF2,NMB Sulav Investment Fund - II,Others,2023-06-15,8.31,8.48,8.31,8.43,6390.0,53516.45,1.2,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSIF2
