symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-17,10.0,10.19,9.43,10.15,40890.0,396551.2,1.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-19,9.95,9.95,9.5,9.63,29470.0,283924.9,-5.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-22,9.55,9.8,9.46,9.75,35620.0,341587.0,1.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-23,9.57,10.02,9.35,10.02,41060.0,396097.8,2.77,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-24,10.02,10.02,9.6,9.87,21500.0,210289.16,-1.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-25,9.8,9.85,9.61,9.71,18980.0,185295.0,-1.62,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-26,9.7,9.9,9.62,9.89,8000.0,77973.0,1.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-29,9.7,9.87,9.57,9.85,21740.0,212816.8,-0.4,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-30,9.66,10.0,9.47,9.61,12330.0,118741.0,-2.44,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-03-31,9.42,9.8,9.24,9.51,19350.0,183744.0,-1.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-01,9.4,9.72,9.35,9.55,24800.0,236731.0,0.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-02,9.4,9.74,9.4,9.5,6600.0,62617.0,-0.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-05,9.32,9.5,9.32,9.41,21200.0,200461.0,-0.95,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-06,9.25,9.66,9.25,9.66,22100.0,209406.0,2.66,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-07,9.8,9.99,9.55,9.58,16300.0,159352.0,-0.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-08,9.4,9.7,9.4,9.5,5400.0,51429.0,-0.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-09,9.5,9.91,9.4,9.91,13800.0,132657.0,4.32,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-10,9.72,9.73,9.62,9.72,6930.0,67003.5,-1.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-13,9.53,9.88,9.35,9.88,16800.0,161260.0,1.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-15,9.7,9.8,9.51,9.71,24470.0,237438.8,-1.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-16,9.53,9.79,9.53,9.67,4800.0,46320.0,-0.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-17,9.57,9.75,9.57,9.75,4800.0,46063.0,0.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-20,9.5,9.81,9.5,9.6,13900.0,133446.0,-1.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-21,9.32,9.7,9.32,9.7,15630.0,147828.0,1.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-22,9.5,9.78,9.45,9.78,6600.0,63156.0,0.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-23,9.49,9.77,9.32,9.6,8300.0,78636.0,-1.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-24,9.32,9.83,9.06,9.62,4900.0,46262.0,0.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-27,9.62,9.7,9.18,9.5,12700.0,120591.0,-1.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-28,9.5,9.5,9.27,9.31,13300.0,124544.0,-2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-29,9.31,9.68,9.25,9.67,18600.0,176142.5,3.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-04-30,9.38,9.66,9.31,9.44,5350.0,50381.0,-2.38,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-04,9.25,9.5,9.13,9.28,8750.0,80820.0,-1.69,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-05,9.28,9.55,9.13,9.55,51900.0,492593.0,2.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-06,9.28,9.6,9.28,9.5,14638.0,138756.8,-0.52,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-07,9.26,9.73,9.26,9.73,6850.0,64774.0,2.42,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-11,9.5,9.57,9.26,9.45,9920.0,93621.1,-0.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-12,9.18,9.6,9.18,9.45,153990.0,1456841.26,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-13,9.28,9.6,9.28,9.5,10810.0,102785.0,0.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-14,9.5,9.62,9.25,9.62,8670.0,81967.4,1.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-18,9.43,9.75,9.43,9.5,55400.0,535974.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-19,9.43,9.5,9.43,9.5,6200.0,58630.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-20,9.43,9.6,9.43,9.6,3300.0,31248.0,1.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-21,9.44,9.6,9.43,9.6,8612.0,81792.12,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-25,9.44,9.63,9.35,9.53,8470.0,81209.0,-1.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-26,9.44,9.7,9.44,9.53,6100.0,58092.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-05-27,9.46,9.7,9.46,9.69,5000.0,47876.0,1.68,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
NSY,Nepal Life Samriddhi Lagani Yojana,Others,2026-06-01,9.69,9.69,9.44,9.65,14500.0,139187.0,-0.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/NSY
