symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-10,300.0,330.0,300.0,330.0,250.0,81310.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-13,330.0,363.0,330.0,363.0,410.0,147191.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-15,370.2,399.3,370.2,399.3,630.0,249971.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-16,407.2,439.2,407.2,439.2,420.0,183677.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-17,447.9,483.1,447.9,483.1,550.0,260263.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-20,507.2,555.5,507.2,555.5,900.0,498464.0,14.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-21,580.0,638.8,580.0,638.8,1000.0,637512.0,15.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-22,657.9,734.6,657.9,734.6,1740.0,1276342.0,15.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-23,756.6,844.7,756.6,844.7,4760.0,4018632.0,14.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-24,886.2,971.4,886.2,971.4,9180.0,8912259.0,15.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-27,1019.9,1117.1,1019.9,1117.1,79890.0,89204220.0,15.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-28,1172.9,1280.0,1025.0,1039.0,538665.0,583340716.6,-6.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-29,1039.0,1090.9,943.2,958.1,208142.0,202285218.1,-7.79,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-04-30,940.0,1030.0,885.1,948.0,108003.0,100071698.3,-1.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-04,948.0,960.0,880.1,888.0,111017.0,100830677.0,-6.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-05,888.0,916.7,850.0,897.0,87957.0,77374062.7,1.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-06,897.0,918.0,875.0,876.0,52889.0,47055834.8,-2.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-07,860.1,890.0,860.0,869.9,40050.0,34779181.9,-0.7,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-11,897.0,908.9,887.0,892.0,76095.0,68223419.4,-0.56,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-12,892.0,901.0,861.0,875.0,68984.0,60529086.7,-1.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-13,835.0,901.0,835.0,865.0,61981.0,53146392.1,-1.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-14,865.0,865.0,840.0,843.0,54070.0,45868872.1,-2.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-18,840.0,845.0,805.9,811.9,65056.0,53087977.2,-3.32,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-19,811.9,835.0,800.0,805.0,54810.0,44078840.2,-0.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-20,765.0,827.0,765.0,822.0,51497.0,42024294.3,2.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-21,827.0,835.9,810.0,812.0,34235.0,28028318.1,-1.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-25,827.0,860.0,815.0,852.8,66607.0,56623847.5,3.12,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-26,854.0,865.0,833.5,839.9,41783.0,35265379.1,-1.51,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-05-27,800.0,839.9,800.0,820.0,66085.0,54409805.0,-2.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-01,815.0,818.9,800.0,803.7,63106.0,50880027.6,-1.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-02,763.6,811.0,763.6,793.0,59979.0,47936071.3,-1.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-03,793.0,809.9,793.0,800.0,43504.0,34818396.4,0.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-04,800.0,805.0,789.0,789.2,40923.0,32533137.3,-1.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-08,770.0,788.0,754.0,758.0,49322.0,37673374.2,-2.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-09,750.0,783.0,732.0,768.0,84796.0,63423318.4,1.32,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-10,765.0,787.4,760.0,774.0,39370.0,30553806.8,0.78,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-11,770.0,775.0,755.0,755.9,37639.0,28749620.1,-2.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PCIL
PCIL,Palpa Cements Industries Limited,Manufacturing,2026-06-12,755.9,765.0,741.0,744.0,34937.0,26099795.6,-1.57,SHARESANSAR_LIVE_APPEND,https://www.sharesansar.com/today-share-price
