symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
PPL,People's Power Limited,Hydropower,2022-10-16,284.1,305.8,255.7,255.7,23578.0,6326271.5,-10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-10-17,256.0,256.0,230.2,230.2,7417.0,1710688.4,-9.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-10-19,225.6,225.6,207.3,213.0,46633.0,9830954.5,-7.47,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-10-20,208.8,225.0,205.0,217.0,14121.0,3055821.1,1.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-10-23,213.0,217.8,207.1,216.0,7780.0,1660922.5,-0.46,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-10-31,213.0,214.9,209.0,210.0,11450.0,2427566.0,-2.78,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-01,205.8,221.2,204.1,220.8,20105.0,4237046.9,5.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-02,225.2,225.2,213.0,219.8,19520.0,4280323.0,-0.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-03,215.5,221.0,211.5,213.0,8393.0,1807773.0,-3.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-06,210.0,219.0,210.0,217.5,7350.0,1585612.0,2.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-07,221.0,222.6,213.0,213.0,27195.0,5938953.0,-2.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-08,208.8,216.5,208.8,213.0,5581.0,1196512.5,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-09,213.0,215.0,207.0,207.0,7623.0,1606438.6,-2.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-10,207.0,209.0,202.0,203.0,12388.0,2528795.7,-1.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-13,203.0,203.0,199.8,203.0,5337.0,1074898.8,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-14,202.1,207.0,200.0,206.9,4600.0,934663.0,1.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-15,203.0,206.5,200.0,202.0,7171.0,1459286.1,-2.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-16,202.0,209.0,200.9,203.0,8432.0,1715703.0,0.5,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-17,203.0,212.8,203.0,206.0,11306.0,2364587.0,1.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-22,202.1,211.0,202.1,204.2,6585.0,1357139.3,-0.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-23,201.3,214.5,201.3,214.4,7472.0,1526255.6,5.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-24,211.0,215.0,205.0,211.0,7005.0,1471709.5,-1.59,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-27,207.0,215.2,207.0,212.0,7568.0,1584431.4,0.47,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
PPL,People's Power Limited,Hydropower,2022-11-28,208.0,216.2,208.0,211.8,6509.0,1372940.0,-0.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PPL
