symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-04,207.0,227.0,211.0,227.0,50.0,10950.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-05,227.0,249.0,231.0,249.0,102303.0,25072948.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-06,249.0,273.0,253.0,273.0,170924.0,46064996.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-07,273.0,288.0,268.0,271.0,199210.0,54548016.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-08,271.0,276.0,268.0,271.0,52836.0,14362285.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-11,271.0,271.0,263.0,265.0,45356.0,12013379.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-12,265.0,267.0,261.0,267.0,39542.0,10431636.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-13,267.0,268.0,257.0,265.0,27085.0,7114650.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-14,265.0,271.0,263.0,269.0,17178.0,4585946.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-18,269.0,294.0,271.0,294.0,189547.0,53537200.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-19,294.0,323.0,294.0,303.0,95482.0,29071310.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-20,303.0,311.0,285.0,299.0,54658.0,16472523.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-22,299.0,299.0,290.0,297.0,31974.0,9443800.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-25,297.0,302.0,295.0,300.0,32235.0,9612160.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-26,300.0,315.0,297.0,304.0,108179.0,32887880.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-27,304.0,306.0,300.0,302.0,138206.0,41657708.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
PRVU,Prabhu Bank Limited,Commercial Bank,2015-01-28,302.0,312.0,300.0,307.0,70550.0,21757428.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PRVU
