symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
PURE,Pure Energy Limited,Hydropower,2025-05-27,289.3,318.2,289.3,318.2,120.0,36747.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-05-28,321.3,350.0,321.3,350.0,140.0,47929.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-02,357.0,385.0,357.0,385.0,270.0,103261.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-03,381.7,423.5,381.7,423.5,270.0,113004.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-04,431.9,465.8,431.9,465.8,260.0,120275.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-05,475.1,512.3,475.1,512.3,400.0,204007.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-08,522.1,563.5,522.1,563.5,580.0,324978.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-09,574.7,619.8,574.7,619.8,610.0,376969.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-10,632.1,681.7,632.1,681.7,570.0,387350.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-11,695.3,749.8,695.3,749.8,640.0,477990.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-12,739.7,824.7,739.7,824.7,1940.0,1597084.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-15,841.1,907.1,841.1,907.1,10620.0,9627823.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-16,925.2,997.8,925.2,997.8,7330.0,7288320.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-17,1017.7,1097.5,1017.7,1097.5,4770.0,5232319.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-18,1119.4,1207.2,1119.4,1207.2,3740.0,4506627.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-19,1231.0,1327.9,1086.5,1086.52,229840.0,268690359.0,-10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-22,1065.0,1065.0,977.9,977.9,49411.0,48532135.0,-10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-23,958.4,958.4,880.2,922.4,89531.0,81333565.6,-5.68,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-24,910.0,1000.0,904.0,976.24,27237.0,26130846.5,5.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-25,995.7,1025.0,940.0,991.15,33205.0,32855079.5,1.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-26,971.4,976.0,941.0,942.94,44968.0,42901795.5,-4.86,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-29,925.0,950.0,901.0,912.83,31782.0,29053317.2,-3.19,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-06-30,902.0,931.1,902.0,918.58,21392.0,19629579.0,0.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-01,912.0,935.9,912.0,917.67,13795.0,12648652.9,-0.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-02,919.0,941.4,902.0,936.3,16472.0,15306451.0,2.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-03,925.2,930.0,915.2,924.87,16704.0,15447659.5,-1.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-06,920.0,920.0,897.0,901.17,33576.0,30455776.6,-2.56,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-07,901.0,914.9,889.0,892.62,21719.0,19526812.4,-0.95,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-08,908.3,909.0,880.1,891.83,14915.0,13222323.9,-0.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-09,890.0,908.0,881.2,885.24,16257.0,14399360.7,-0.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-10,890.0,895.0,883.0,888.85,27093.0,24051451.6,0.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-13,906.6,906.6,881.4,882.17,15898.0,14090047.3,-0.75,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-14,865.0,893.2,865.0,868.07,17414.0,15169554.7,-1.6,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-15,868.0,885.0,864.2,878.33,15007.0,13068341.8,1.18,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-16,860.8,893.0,860.8,871.71,18148.0,15880104.4,-0.75,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-17,870.0,900.0,870.0,890.07,18977.0,16913295.0,2.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-20,905.0,910.0,885.1,897.89,21995.0,19825127.2,0.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-21,900.0,911.9,885.0,894.87,19190.0,17243614.6,-0.34,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-22,891.0,952.0,891.0,945.88,33801.0,31273866.2,5.7,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-23,950.0,960.0,915.2,921.65,32420.0,30163536.2,-2.56,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-24,939.0,939.0,911.1,914.39,21256.0,19502066.8,-0.79,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-27,896.2,923.0,896.2,901.53,20229.0,18336866.7,-1.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-28,901.0,919.0,890.0,905.2,16514.0,14868300.7,0.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-29,906.0,944.0,903.1,931.29,44257.0,41142327.5,2.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-30,945.0,945.0,915.0,916.02,18905.0,17539104.2,-1.64,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-07-31,916.0,920.0,900.1,901.23,16621.0,15063884.1,-1.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-03,892.0,907.0,877.0,878.38,20540.0,18251901.8,-2.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-04,866.0,885.0,865.0,877.04,16070.0,14022380.2,-0.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-05,877.04,897.0,863.0,866.15,14935.0,13035704.2,-1.24,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-06,850.0,882.3,850.0,872.08,8281.0,7210971.1,0.68,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-07,865.0,889.4,865.0,873.05,6728.0,5889264.7,0.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-11,873.0,893.0,870.0,870.63,11980.0,10527098.4,-0.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-12,860.0,883.0,860.0,861.14,12298.0,10622078.6,-1.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-13,860.0,867.0,855.0,855.23,6766.0,5810811.8,-0.69,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-14,851.1,870.0,851.1,866.34,12284.0,10578741.1,1.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-17,850.0,884.0,850.0,858.54,6383.0,5509274.2,-0.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-18,850.0,878.0,850.0,872.51,9504.0,8240191.6,1.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-19,880.0,946.0,867.0,925.61,77930.0,72175136.7,6.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-20,926.0,955.0,925.0,927.03,40329.0,38010382.8,0.15,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-21,915.0,959.8,915.0,951.15,45454.0,42694142.7,2.6,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-24,950.0,954.0,900.0,909.8,15565.0,14437504.5,-4.35,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-25,891.7,978.0,891.7,939.96,35257.0,32601361.5,3.32,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-26,921.2,993.0,921.2,959.66,102784.0,99548719.8,2.1,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-27,960.0,960.0,935.0,940.3,25453.0,23951252.7,-2.02,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-28,925.1,950.0,912.0,917.76,16576.0,15329476.5,-2.4,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
PURE,Pure Energy Limited,Hydropower,2025-08-31,904.1,920.0,900.2,908.04,8761.0,7972705.3,-1.06,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/PURE
