symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
RSML,Reliance Spinning Mills Limited,Others,2026-02-16,300.0,330.0,300.0,330.0,130.0,40150.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-02-17,328.0,361.8,328.0,361.8,60.0,20681.0,9.64,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-02-22,358.2,395.3,358.2,395.3,60.0,22590.0,9.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-02-23,391.5,432.0,391.5,432.0,60.0,24689.0,9.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-02-24,427.9,472.2,427.9,472.2,60.0,26986.0,9.31,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-02-25,467.5,519.4,467.5,519.4,60.0,29717.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-02-26,514.3,567.5,514.3,567.5,60.0,32431.0,9.26,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-03-01,561.9,624.2,561.9,624.2,110.0,66647.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-03-03,621.1,685.5,621.1,685.5,60.0,39173.0,9.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-03-09,675.3,675.3,675.3,675.3,10.0,6753.0,-1.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-03-10,688.8,742.8,688.8,742.8,80.0,56478.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-03-11,735.6,812.1,735.6,812.1,60.0,46401.0,9.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
RSML,Reliance Spinning Mills Limited,Others,2026-03-12,802.1,893.3,802.1,893.3,160.0,136911.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/RSML
