symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
SAIL,Shreenagar Agritech Industries Limited,Others,2025-11-24,301.7,331.8,301.7,331.8,250.0,81755.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-11-25,328.7,364.9,328.7,364.9,300.0,108304.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-11-26,362.9,401.3,362.9,401.3,260.0,103147.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-11-27,409.3,441.4,409.3,441.4,490.0,215496.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-11-30,443.6,485.5,443.6,485.5,650.0,313961.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-12-01,490.0,534.0,490.0,534.0,790.0,420214.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-12-02,534.0,587.4,534.0,587.4,810.0,473139.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-12-03,599.1,646.1,599.1,646.1,930.0,599718.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-12-07,655.9,710.7,655.9,710.7,2530.0,1796665.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-12-08,724.9,781.7,724.9,781.7,6050.0,4726185.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
SAIL,Shreenagar Agritech Industries Limited,Others,2025-12-09,769.2,859.8,769.2,859.8,37290.0,32058270.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SAIL
