symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
SFEF,Sunrise Focused Equity Fund,Others,2023-04-20,10.0,10.0,10.0,10.0,100.0,1000.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-04-23,9.81,9.81,9.0,9.0,1205.0,11081.6,-10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-04-24,8.82,8.82,8.1,8.2,5170.0,42281.4,-8.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-04-25,8.04,8.04,7.77,7.8,5200.0,40946.25,-4.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-04-26,7.65,7.8,7.35,7.69,2000.0,15277.75,-1.41,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-04-27,7.56,7.86,7.56,7.7,975.0,7491.0,0.13,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-04-30,7.64,7.85,7.64,7.73,2150.0,16584.25,0.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-05-02,7.65,7.7,7.65,7.7,825.0,6331.25,-0.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-05-03,7.75,7.76,7.75,7.75,1250.0,9697.5,0.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-05-04,7.6,7.85,7.6,7.8,725.0,5630.0,0.65,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
SFEF,Sunrise Focused Equity Fund,Others,2023-05-07,7.65,7.84,7.65,7.84,1600.0,12460.0,0.51,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SFEF
