symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
SGIC,Sanima GIC Insurance Limited,Insurance,2023-01-23,374.8,404.2,374.8,404.2,1330.0,536641.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-01-24,412.2,444.6,412.2,444.6,1740.0,772175.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-01-25,436.1,489.0,436.1,489.0,44755.0,21878498.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-01-26,498.7,537.9,492.0,495.0,63167.0,31627247.0,1.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-01-29,485.1,514.0,476.0,498.0,23218.0,11462529.5,0.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-01-30,507.9,507.9,473.0,477.0,14178.0,6871107.7,-4.22,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-01-31,467.5,492.5,459.0,469.9,16773.0,7931206.2,-1.49,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-02-01,475.0,493.6,467.5,493.0,28218.0,13742595.7,4.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-02-02,500.0,502.8,484.0,488.0,32515.0,16141878.8,-1.01,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
SGIC,Sanima GIC Insurance Limited,Insurance,2023-02-05,487.0,495.0,479.0,485.0,11668.0,5661837.1,-0.61,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SGIC
