symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-10,284.3,312.7,284.3,312.7,140.0,42647.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-13,312.1,343.9,312.1,343.9,230.0,77502.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-15,340.6,378.2,340.6,378.2,280.0,104683.0,9.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-16,372.5,416.0,372.5,416.0,200.0,81729.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-17,424.3,457.6,424.3,457.6,220.0,97854.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-20,471.3,526.2,471.3,526.2,380.0,198622.0,14.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-21,528.7,605.1,528.7,605.1,580.0,347240.0,14.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-22,623.2,695.8,623.2,695.8,780.0,540960.0,14.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-23,730.5,800.1,730.5,800.1,1640.0,1309327.0,14.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-24,840.1,920.1,840.1,920.1,1800.0,1652921.0,15.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-27,966.1,1058.1,966.1,1058.1,4380.0,4630728.0,15.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-28,1111.0,1216.8,1000.1,1002.0,128510.0,143329950.6,-5.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-29,1002.0,1002.0,891.0,902.6,126545.0,116346783.0,-9.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-04-30,876.0,1028.0,854.0,974.0,62190.0,57453261.0,7.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-05-04,974.0,1003.2,902.0,905.0,37868.0,35053018.0,-7.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-05-05,859.8,909.4,859.8,900.0,43463.0,38644330.5,-0.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-05-06,875.0,898.0,855.0,865.0,24250.0,21107580.0,-3.89,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
SIPD,Shikhar Power Development Limited,Hydropower,2026-05-07,865.0,889.0,830.4,832.0,20929.0,17539363.8,-3.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SIPD
