symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
SPC,Samling Power Company Limited,Hydropower,2021-11-25,296.3,320.5,296.3,320.5,57.0,17539.1,8.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-11-28,326.9,346.8,326.9,346.8,71.0,23677.2,8.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-11-29,353.7,381.4,353.7,381.4,67.0,24651.7,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-11-30,389.0,419.5,389.0,419.5,70.0,28476.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-01,427.8,461.4,427.8,461.4,160.0,72941.2,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-02,470.6,507.5,470.6,507.5,700.0,354345.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-05,517.0,558.2,471.0,500.0,33698.0,17873241.7,-1.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-06,510.0,510.0,455.0,500.0,10801.0,5089838.0,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-07,510.0,519.0,471.6,475.0,6274.0,3065806.0,-5.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-08,467.0,467.0,427.5,441.0,8150.0,3584326.0,-7.16,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-09,432.3,440.0,418.5,425.0,5381.0,2286022.4,-3.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-12,415.0,415.0,393.0,393.0,5492.0,2210806.0,-7.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-13,386.0,386.0,354.0,367.0,2565.0,947056.0,-6.62,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-14,369.0,403.7,369.0,403.7,2640.0,1036305.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-15,411.7,444.0,406.8,444.0,9896.0,4164791.0,9.98,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
SPC,Samling Power Company Limited,Hydropower,2021-12-16,452.8,478.0,413.0,433.2,4185.0,1838720.0,-2.43,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPC
