symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-04,638.0,638.0,573.9,573.9,49679.0,28692878.1,-8.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-05,573.9,573.9,551.0,559.0,23219.0,12904339.1,-2.6,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-06,559.0,568.9,550.9,566.0,14847.0,8287706.2,1.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-09,554.8,555.0,546.0,550.0,46237.0,25349241.2,-2.83,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-10,560.0,561.0,542.0,542.0,7321.0,4007605.0,-1.45,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-11,542.0,549.9,534.0,548.0,20424.0,11039179.4,1.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-12,555.0,575.0,555.0,575.0,43629.0,24616557.0,4.93,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-13,585.0,587.0,560.0,569.0,12096.0,6938361.6,-1.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-16,577.5,577.5,550.1,557.0,19345.0,10864569.7,-2.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-17,552.4,558.0,552.1,553.0,9853.0,5461587.8,-0.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-18,554.0,561.9,550.1,558.8,15736.0,8715550.9,1.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-19,560.0,571.0,555.0,571.0,14649.0,8264714.5,2.18,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-20,577.9,585.0,571.0,579.0,28677.0,16622133.4,1.4,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-23,570.0,579.0,570.0,572.1,5153.0,2952696.1,-1.19,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-24,570.0,577.0,563.0,576.0,4437.0,2536954.5,0.68,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-25,566.8,606.0,566.8,602.0,35842.0,20744455.5,4.51,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-26,612.9,612.9,590.0,590.0,20075.0,11964524.3,-1.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-27,587.3,613.8,578.5,594.0,11143.0,6528905.6,0.68,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-04-30,585.0,594.0,575.0,594.0,12512.0,7274570.5,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-02,582.2,585.0,575.1,580.0,2154.0,1248798.5,-2.36,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-03,580.0,580.0,568.5,570.0,10962.0,6244039.4,-1.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-04,570.1,579.0,565.0,573.0,5359.0,3070595.5,0.53,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-07,565.1,571.0,565.1,568.5,4228.0,2405555.1,-0.79,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-08,568.0,570.0,562.2,569.0,13706.0,7751230.1,0.09,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-09,558.1,580.3,558.1,569.0,3353.0,1898378.3,0.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-10,579.9,579.9,564.0,577.8,13874.0,7925370.6,1.55,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-11,589.0,589.0,568.0,575.0,14119.0,8116471.6,-0.48,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-14,586.0,586.0,564.0,567.6,5990.0,3419723.6,-1.29,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-15,570.0,570.0,561.0,563.0,13421.0,7573062.7,-0.81,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
SPIL,Siddhartha Premier Insurance Limited,Insurance,2023-05-16,563.0,570.0,552.1,569.0,7381.0,4157414.4,1.07,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/SPIL
