symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-10,295.0,324.5,295.0,324.5,206247.0,66568580.4,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-11,330.9,342.0,304.0,313.0,158845.0,50318297.0,-3.54,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-12,306.8,334.0,306.8,331.5,82281.0,26621195.0,5.91,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-13,338.1,338.1,318.5,321.0,49161.0,15884273.0,-3.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-16,319.0,320.0,308.0,309.0,62246.0,19479190.4,-3.74,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-17,304.0,315.0,304.0,314.6,41883.0,13004246.0,1.81,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-18,308.4,320.0,303.0,320.0,38845.0,12220853.0,1.72,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-19,315.0,323.3,311.0,322.0,51534.0,16469743.0,0.63,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-20,316.1,323.9,313.0,313.0,38607.0,12249347.0,-2.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-23,306.8,315.0,306.8,309.1,51344.0,15984788.4,-1.25,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydropower,2023-04-24,309.0,310.0,304.6,310.0,43827.0,13448217.9,0.29,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TAMOR
