symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
TPC,Terhathum Power Company Limited,Hydropower,2021-10-31,254.2,259.2,254.2,259.2,20.0,5134.0,1.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-01,264.3,269.5,264.3,269.5,22.0,5854.2,3.97,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-02,274.8,285.8,274.8,285.8,38.0,10647.2,6.05,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-03,288.7,300.2,288.7,300.2,40.0,11705.1,5.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-08,300.2,330.2,300.2,330.2,130.0,41305.8,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-09,336.8,363.2,336.8,363.2,170.0,61095.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-11,370.4,399.5,370.4,399.5,309.0,122727.8,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-14,407.4,439.4,407.4,439.4,530.0,232095.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-15,448.1,483.3,448.1,483.3,3302.0,1594638.6,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-16,492.9,531.6,492.9,531.6,2260.0,1200368.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-17,542.2,584.7,542.2,584.7,1840.0,1074379.0,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-18,596.3,643.1,596.3,643.1,40896.0,26029588.2,9.99,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-21,655.0,655.9,602.0,616.0,25206.0,15762591.0,-4.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-22,616.0,616.0,590.0,600.0,14200.0,8460547.0,-2.6,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-23,588.0,595.0,585.0,588.0,6265.0,3688080.8,-2.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-24,590.0,599.7,554.4,575.0,8705.0,4972471.5,-2.21,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-25,571.0,587.0,569.2,570.0,7276.0,4183681.6,-0.87,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-28,558.6,591.6,526.0,548.1,9850.0,5420410.0,-3.84,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-29,540.0,565.0,538.0,546.3,5680.0,3132511.0,-0.33,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-11-30,546.0,590.9,538.0,585.0,5912.0,3314131.0,7.08,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-01,585.0,595.0,556.0,570.0,3338.0,1902363.0,-2.56,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-02,559.0,570.0,544.0,565.0,8735.0,4858539.0,-0.88,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-05,570.0,570.0,529.2,549.9,5217.0,2840928.9,-2.67,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-06,539.0,560.0,507.0,539.9,6515.0,3419928.0,-1.82,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-07,530.0,550.0,515.0,524.9,6517.0,3419647.1,-2.78,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-08,515.1,518.0,499.0,509.0,4730.0,2395931.5,-3.03,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-09,500.0,527.0,500.0,507.0,3765.0,1898855.0,-0.39,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-12,497.0,497.0,461.3,489.9,5500.0,2627234.0,-3.37,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-13,480.2,489.8,445.0,445.0,3131.0,1419992.5,-9.17,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
TPC,Terhathum Power Company Limited,Hydropower,2021-12-14,445.0,489.5,437.0,489.5,2824.0,1354829.9,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/TPC
