symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-05-27,1211.0,1259.9,1211.0,1259.9,40.0,49171.0,4.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-05-30,1257.7,1363.6,1257.7,1363.6,70.0,90771.0,8.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-05-31,1390.8,1475.8,1390.8,1475.8,50.0,71263.6,8.23,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-01,1505.3,1535.4,1505.3,1535.4,30.0,45524.0,4.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-02,1566.1,1597.4,1566.1,1597.4,20.0,31635.0,4.04,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-03,1603.3,1757.1,1603.3,1757.1,60.0,101003.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-06,1792.2,1932.8,1792.2,1932.8,130.0,247816.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-07,1971.4,2126.0,1971.4,2126.0,190.0,400152.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-08,2168.5,2338.6,2168.5,2338.6,90.0,206304.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-09,2385.3,2572.4,2385.3,2572.4,160.0,406999.0,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-10,2572.0,2829.6,2572.0,2829.6,1857.0,5223049.2,10.0,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-13,2886.1,3112.5,2700.0,2702.0,20060.0,56364035.0,-4.51,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-14,2740.0,2740.0,2560.0,2564.0,11051.0,28760198.2,-5.11,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance,2022-06-15,2565.0,2565.0,2425.0,2508.2,5667.0,14031019.5,-2.18,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/ULBSL
