symbol,company_name,sector,date,open,high,low,close,volume,turnover,change_percent,source,source_url
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-20,296.0,325.0,296.0,325.0,18040.0,5857700.0,9.8,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-21,340.0,340.0,293.0,293.0,11030.0,3252100.0,-9.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-22,280.0,280.0,264.0,264.0,1350.0,363590.0,-9.9,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-23,259.0,259.0,238.0,238.0,6220.0,1485360.0,-9.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-24,233.0,241.0,215.0,223.0,13540.0,2995720.0,-6.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-27,219.0,224.0,215.0,216.0,9428.0,2063074.0,-3.14,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-28,220.0,220.0,208.0,212.0,7002.0,1469730.0,-1.85,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-29,208.0,212.0,204.0,204.0,5620.0,1153380.0,-3.77,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-30,204.0,212.0,200.0,212.0,4831.0,975433.0,3.92,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2020-12-31,215.0,222.0,204.0,219.0,5800.0,1200620.0,3.3,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
UMRH,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,2021-01-03,225.0,240.0,206.0,224.0,5328.0,1147238.0,2.28,SHARESANSAR_PRICE_HISTORY,https://www.sharesansar.com/company/UMRH
